"Sample","Latitude","Longitude","Status","Date.time","Site","Location","Depth","Observer.count","Observer.length","Successful.count","Successful.length","Comment"
1.01,-22.84786205,113.5404917,NA,"2019-08-12T09:23:00+08:00",1,"Ningaloo Marine Park","?","Brooke Gibbons","Charlotte Aston","Yes","Yes","Two lat and lons in file given by CSIRO"
1.02,-22.85016136,113.5252875,NA,"2019-08-12T09:35:00+08:00",1,"Ningaloo Marine Park","?","Brooke Gibbons","Charlotte Aston","Yes","Yes",NA
1.03,-22.84437,113.51304,NA,"2019-08-12T09:43:00+08:00",1,"Ningaloo Marine Park","?","Charlotte Aston","Charlotte Aston","Yes","Yes",NA
1.04,-22.8402743,113.5183981,NA,"2019-08-12T09:51:00+08:00",1,"Ningaloo Marine Park","?","Charlotte Aston","Charlotte Aston","Yes","Yes",NA
1.05,-22.83417,113.51601,NA,"2019-08-12T09:58:00+08:00",1,"Ningaloo Marine Park","?","Charlotte Aston","Charlotte Aston","Yes","No","Measurements accepted with high RMS"
1.06,-22.83153691,113.523387,NA,"2019-08-12T10:06:00+08:00",1,"Ningaloo Marine Park","?","Charlotte Aston","Charlotte Aston","Yes","Yes",NA
2.02,-22.83153691,113.5625852,NA,"2019-08-12T11:47:00+08:00",2,"Ningaloo Marine Park","?","Brooke Gibbons",NA,"Yes","No","Right wasn't turned on"
2.03,-22.82900766,113.5659111,NA,"2019-08-12T11:57:00+08:00",2,"Ningaloo Marine Park","?","Charlotte Aston","Charlotte Aston","Yes","Yes","Measurements accepted with high RMS"
2.04,-22.82440903,113.5815904,NA,"2019-08-12T12:05:00+08:00",2,"Ningaloo Marine Park","?","Charlote Aston","Charlotte Aston","Yes","Yes","Measurements accepted with high RMS"
2.05,-22.82256957,113.5770767,NA,"2019-08-12T12:12:00+08:00",2,"Ningaloo Marine Park","?","Charlotte Aston","Charlotte Aston","Yes","Yes",NA
2.06,-22.82164985,113.5716127,NA,"2019-08-12T12:18:00+08:00",2,"Ningaloo Marine Park","?","Charlotte Aston","Charlotte Aston","Yes","Yes",NA
2.07,-22.8191206,113.5640106,NA,"2019-08-12T12:24:00+08:00",2,"Ningaloo Marine Park","?","Charlotte Aston","Charlotte Aston","Yes","Yes",NA
3.01,-22.81314238,113.5207738,NA,"2019-08-12T14:12:00+08:00",3,"Ningaloo Marine Park","?","Brooke Gibbons","Charlotte Aston","Yes","Yes",NA
3.02,-22.81015327,113.5262378,NA,"2019-08-12T14:07:00+08:00",3,"Ningaloo Marine Park","?","Charlotte Aston","Charlotte Aston","Yes","No","Right camera stopped early"
3.03,-22.80693423,113.5338398,NA,"2019-08-12T14:00:00+08:00",3,"Ningaloo Marine Park","?","Brooke Gibbons","Charlotte Aston","Yes","Yes","Measurements accepted with high RMS"
3.04,-22.80608,113.51938,NA,"2019-08-12T14:17:00+08:00",3,"Ningaloo Marine Park","?","Brooke Gibbons","Charlotte Aston","Yes","No","Measurements accepted with high RMS"
