"Sample","Latitude","Longitude","Status","Date.time","Site","Location","Depth","Observer.count","Observer.length","Successful.count","Successful.length","Comment"
17,-22.7757,113.5195,"Fished","2021-05-18T12:28:00+08:00","outNP.5","Point Cloates",104,"Charlotte",NA,"Yes",NA,NA
22,-22.7812,113.4964,"Fished","2021-05-18T12:19:00+08:00","outNP.10","Point Cloates",138,"Charlotte",NA,"Yes",NA,NA
25,-22.7937,113.4939,"Fished","2021-05-18T12:11:00+08:00","outNP.13","Point Cloates",135,"Charlotte",NA,"Yes",NA,NA
15,-22.7461,113.5138,"Fished","2021-05-18T12:40:00+08:00","outNP.3","Point Cloates",130,"Charlotte",NA,"Yes",NA,"Tricky video - might be good if someone else watches it from scratch as well to double check it"
7,-22.7287,113.5365,"No-take","2021-05-18T12:57:00+08:00","inNP.7","Point Cloates",100,"Charlotte",NA,"Yes",NA,NA
13,-22.7963,113.5041,"Fished","2021-05-18T12:08:00+08:00","outNP.1","Point Cloates",116,"Charlotte",NA,"Yes",NA,NA
12,-22.7262,113.5214,"No-take","2021-05-18T12:48:00+08:00","inNP.12","Point Cloates",126,"Charlotte",NA,"Yes",NA,NA
16,-22.7812,113.5115,"Fished","2021-05-18T12:24:00+08:00","outNP.4","Point Cloates",111,"Gabby",NA,"Yes",NA,NA
21,-22.7563,113.5189,"Fished","2021-05-18T12:36:00+08:00","outNP.9","Point Cloates",112,"Gabby",NA,"Yes",NA,"Need to update CAAB code for inermis"
6,-22.721,113.5465,"No-take","2021-05-18T14:41:00+08:00","inNP.6","Point Cloates",88.5,"Charlotte",NA,"Yes",NA,NA
2,-22.7108,113.5386,"No-take","2021-05-18T14:46:00+08:00","inNP.2","Point Cloates",104,"Charlotte",NA,"Yes",NA,NA
3,-22.7087,113.5263,"No-take","2021-05-18T14:51:00+08:00","inNP.3","Point Cloates",129,"Charlotte",NA,"Yes",NA,NA
1,-22.696,113.5315,"No-take","2021-05-18T14:56:00+08:00","inNP.1","Point Cloates",129,"Charlotte",NA,NA,NA,NA
4,-22.6937,113.5413,"No-take","2021-05-18T15:00:00+08:00","inNP.4","Point Cloates",110,"Charlotte",NA,"Yes",NA,NA
27,-22.7027,113.556,"No-take","2021-05-18T15:06:00+08:00",NA,"Point Cloates",77.8,"Gabby",NA,"Yes",NA,"Come back to Rubrio Vs Ravus"
8,-22.6884,113.5563,"No-take","2021-05-18T15:12:00+08:00","inNP.8","Point Cloates",89.3,"Charlotte",NA,"Yes",NA,NA
11,-22.6761,113.5387,"No-take","2021-05-18T15:20:00+08:00","inNP.11","Point Cloates",139,"Charlotte",NA,"Yes",NA,NA
10,-22.6734,113.524,"No-take","2021-05-18T15:27:00+08:00","inNP.10","Point Cloates",197,"Charlotte",NA,"Yes",NA,NA
5,-22.6837,113.5139,"No-take","2021-05-19T07:59:00+08:00","inNP.5","Point Cloates",206,"Gabby",NA,"Yes",NA,NA
9,-22.6962,113.5064,"No-take","2021-05-19T08:27:00+08:00","inNP.9","Point Cloates",207,"Gabby",NA,"Yes",NA,"BRUV tilting back and forth in current"
18,-22.7311,113.4913,"Fished","2021-05-19T08:40:00+08:00","outNP.6","Point Cloates",204,"Gabby",NA,"Yes",NA,NA
23,-22.7362,113.4887,"Fished","2021-05-19T08:42:00+08:00","outNP.11","Point Cloates",204,"Gabby",NA,"Yes",NA,NA
14,-22.7413,113.4991,"Fished","2021-05-19T08:48:00+08:00","outNP.2","Point Cloates",179,"Gabby",NA,"Yes",NA,NA
19,-22.7437,113.484,"Fished","2021-05-19T08:53:00+08:00","outNP.7","Point Cloates",206,"Gabby",NA,"Yes",NA,NA
26,-22.7537,113.4763,"Fished","2021-05-19T08:59:00+08:00","outNP.14","Point Cloates",209,"Gabby",NA,"Yes",NA,NA
