"sample","number","year","size.class","scientific","fb_length_at_maturity"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25569/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25570/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25571/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25473/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25474/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25475/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25476/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25477/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25572/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25573/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25574/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25575/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25576/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25577/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25478/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25480/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25482/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25483/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25578/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25579/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25580/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25581/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25582/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25583/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25584/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25585/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25586/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25587/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25588/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25484/?format=feather",0,"2019","0-50","all.indicators",NA
