OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
20210519-2	13	20210519_1108-1552_BOTTOM2_0006_0001.mp4	51525	20210519_1108-1552_TOP2_0007_0001.mp4	1903	109.32672	29	2.99994	192.40247	6.50308	6.83620	2858.73469	25.43173	11.82137	12.88203	-678.24293	1023.27466	-2581.71640	Sponges > Erect Forms	Simple		10000916	1				10-20	
20210519-2	38	20210519_1108-1552_BOTTOM2_0007_0001.mp4	27893	20210519_1108-1552_TOP2_0007_0001.mp4	46603	121.75580	40	2.99994	251.33008	4.92403	5.55919	2153.16886	20.00064	19.35838	0.41175	-507.63579	533.53916	-2023.30868	Sponges > Cup-Likes	Barrels		10000907	1					
20210519-2	39	20210519_1108-1552_BOTTOM2_0007_0001.mp4	27893	20210519_1108-1552_TOP2_0007_0001.mp4	46603	121.75580	40	2.99994	161.20418	5.94136	5.93768	3065.78730	30.52348	10.47562	1.10823	-618.48797	1428.98320	-2640.93382	Sponges > Massive Forms	Simple		10000904	1					
20210519-2	40	20210519_1108-1552_BOTTOM2_0007_0001.mp4	27893	20210519_1108-1552_TOP2_0007_0001.mp4	46603	121.75580	40	2.99994	175.30619	3.89950	6.77983	2182.01778	24.85403	3.82573	27.96415	-640.31648	656.58397	-1979.92270	Cnidaria > Corals	Black & Octocorals	Branching (3D)	11168902	1					
20210519-2	56	20210519_1108-1552_BOTTOM2_0008_0001.mp4	65079	20210519_1108-1552_TOP2_0009_0001.mp4	15458	151.09567	30	2.99994	227.57402	4.65225	6.80045	2231.93257	20.28831	11.94869	19.98431	-666.25740	393.74833	-2093.46276	Cnidaria > Corals	Black & Octocorals	Branching (3D)	11168902	1					
20210519-2	60	20210519_1108-1552_BOTTOM2_0010_0001.mp4	28794	20210519_1108-1552_TOP2_0010_0001.mp4	47504	179.00633	39	2.99994	299.42407	23.80151	5.62376	3291.63280	10.39801	53.49325	9.65074	-393.21083	445.34085	-3237.57676	Sponges > Erect Forms	Laminar		10000913	1					
20210519-2	61	20210519_1108-1552_BOTTOM2_0010_0001.mp4	28794	20210519_1108-1552_TOP2_0010_0001.mp4	47504	179.00633	39	2.99994	219.79364	20.04011	6.68626	2953.77252	8.10747	55.03965	6.57866	-413.99615	-46.24693	-2924.25042	Sponges > Massive Forms	Simple		10000904	1					
20210519-2	62	20210519_1108-1552_BOTTOM2_0010_0001.mp4	28794	20210519_1108-1552_TOP2_0010_0001.mp4	47504	179.00633	39	2.99994	231.03431	3.06426	5.66098	2092.51467	14.55361	5.50280	25.69612	-474.67494	226.20710	-2025.37199	Cnidaria > Corals	Black & Octocorals	Branching (3D)	11168902	1					
20210519-2	63	20210519_1108-1552_BOTTOM2_0010_0001.mp4	28794	20210519_1108-1552_TOP2_0010_0001.mp4	47504	179.00633	39	2.99994	366.77505	2.43452	7.44464	1995.58688	31.44115	1.63705	8.30790	-411.20607	956.28045	-1702.58751	Cnidaria > Corals	Black & Octocorals	Branching (3D)	11168902	1					
20210519-2	64	20210519_1108-1552_BOTTOM2_0010_0001.mp4	28794	20210519_1108-1552_TOP2_0010_0001.mp4	47504	179.00633	39	2.99994	121.41697	6.32134	7.17229	2393.61285	27.03251	24.25248	18.52584	-594.35327	-911.17699	-2132.10768	Sponges > Erect Forms	Laminar		10000913	1					
