OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
20210519-2	70	0	3283.16369	2025.00000	3330.49738	2092.16418
20210519-2	70	1	3267.04617	1908.80597	3314.37985	1978.65672
20210519-2	71	0	2492.81532	775.68657	2484.87513	814.70149
20210519-2	72	0	2571.38825	701.80597	2564.79119	663.58209
20210519-2	73	0	1945.16894	647.41791	1941.68835	595.05970
20210519-2	74	0	2044.46800	870.31343	2049.40609	996.95522
20210519-2	75	0	2629.49738	1931.89552	2699.34103	2004.85075
20210519-2	76	0	2544.20881	1855.32836	2621.96327	1947.16418
20210519-2	77	0	969.26338	917.31343	1018.48793	1052.85075
20210519-2	77	1	965.90556	813.20896	1015.13012	955.46269
20210519-2	78	0	861.81322	795.74627	915.73872	863.44776
20210519-2	78	1	824.20567	713.80597	880.14586	793.59701
20210519-2	79	0	880.43861	746.94030	935.06925	744.74627
20210519-2	79	1	879.76705	591.11940	934.39769	580.86567
20210519-2	80	0	2647.60126	973.74627	2627.45331	1067.59701
20210519-2	80	1	2691.80168	774.31343	2674.46275	885.58209
20210519-2	81	0	3453.53620	915.88060	3404.27702	1001.49254
20210519-2	81	1	3466.96747	824.53731	3422.40923	915.52239
20210519-2	82	0	2911.20357	1900.47761	2972.25813	1945.56716
20210519-2	82	1	2922.62015	1830.62687	2978.30220	1877.73134
20210519-2	83	0	426.57608	741.49254	496.38510	959.80597
20210519-2	84	0	1132.45331	791.71642	1176.30535	965.53731
20210519-2	85	0	180.65058	588.89552	267.28227	617.16418
20210519-2	86	0	2838.17524	831.92537	2812.83631	870.82090
20210519-2	87	0	3106.80063	768.11940	3078.77545	820.44776
20210519-2	88	0	2984.57608	706.32836	2962.59496	750.59701
20210519-2	89	0	3452.10493	684.26866	3428.48059	671.70149
20210519-2	90	0	2320.60021	744.88060	2315.08080	709.73134
20210519-2	91	0	2531.47114	744.20896	2528.63799	699.65672
20210519-2	92	0	1995.29696	886.31343	2002.25184	1017.92537
20210519-2	93	0	2110.13431	899.74627	2112.38825	997.77612
20210519-2	94	0	2736.59706	1804.43284	2794.29381	1834.07463
20210519-2	95	0	2624.35467	1806.77612	2689.46800	1851.59701
20210519-2	96	0	2428.92970	1870.58209	2508.14586	2015.47761
20210519-2	97	0	2321.47954	1858.49254	2404.54565	1917.53731
20210519-2	98	0	1288.28751	1744.95522	1242.17838	1807.23881
20210519-2	99	0	1618.13956	1801.34328	1547.59601	1954.67164
20210519-2	100	0	253.17943	1786.98507	219.60126	1891.67164
20210519-2	101	0	470.76600	1717.80597	451.29066	1697.56716
20210519-2	102	0	550.01049	1813.17910	532.54984	1848.01493
20210519-2	103	0	1261.10073	1953.20896	1185.35572	2131.92537
20210519-2	104	0	1444.99370	749.77612	1488.06086	763.46269
20210519-2	105	0	316.08604	1948.43284	300.18888	2145.89552
20210519-2	106	0	1191.92970	877.71642	1235.23190	945.07463
20210519-2	106	1	1208.71878	763.53731	1252.02099	842.31343
20210519-2	107	0	3307.69255	933.44776	3256.44806	1003.82090
20210519-2	107	1	3308.36411	856.88060	3265.17838	932.62687
20210519-2	108	0	532.77230	1954.47761	511.68940	2073.35821
20210519-2	108	1	511.95383	1785.89552	490.87093	1909.47761
20210519-2	109	0	2398.82581	1973.95522	2488.69780	2095.52239
20210519-2	109	1	2353.45331	1715.19403	2428.92865	1857.76119
20210519-2	110	0	481.96327	602.85075	550.29171	567.37313
20210519-2	111	0	265.71983	619.64179	338.07765	614.38806
20210519-2	112	0	699.87408	836.68657	760.37041	1019.67164
20210519-2	113	0	1106.64113	747.41791	1155.98741	849.70149
20210519-2	114	0	1010.22350	849.55224	1070.22770	1036.31343
20210519-2	115	0	1406.44806	709.80597	1455.50787	713.82090
20210519-2	116	0	159.83211	708.44776	238.18573	888.40299
20210519-2	117	0	2127.59916	811.23881	2130.92970	782.95522
20210519-2	118	0	2695.98321	742.56716	2686.98636	680.73134
20210519-2	119	0	2645.61595	813.76119	2628.56034	788.86567
20210519-2	120	0	489.73347	1674.14925	476.06611	1724.73134
20210519-2	121	0	970.34103	1893.23881	916.72718	2064.62687
20210519-2	122	0	1124.80063	1894.58209	1054.39769	2141.86567
20210519-2	123	0	730.93809	1777.64179	699.81112	1810.29851
20210519-2	124	0	264.59601	1616.64179	237.73347	1549.59701
20210519-2	125	0	530.53515	1665.00000	531.20672	1661.08955
20210519-2	126	0	2231.02204	1923.58209	2331.17419	2094.17910
20210519-2	127	0	2249.82581	1829.55224	2349.30640	2108.95522
20210519-2	128	0	2881.07135	1775.11940	2942.79748	1918.79104
20210519-2	129	0	2478.53725	1726.10448	2544.14900	1708.52239
20210519-2	130	0	2619.56558	1705.95522	2684.50577	1669.56716
20210519-2	131	0	2589.66946	1824.23881	2665.17419	2039.77612
20210519-2	132	0	3194.72298	1756.58209	3243.15950	1785.59701
20210519-2	133	0	3359.25603	1821.05970	3407.69255	1864.17910
20210519-2	134	0	3124.85100	1865.64179	3177.26233	1941.14925
20210519-2	135	0	2280.54250	1802.98507	2361.94334	1851.07463
20210519-2	136	0	2028.93914	1896.85075	2134.78279	2030.37313
20210519-2	137	0	3282.49318	720.14925	3266.75761	675.56716
20210519-2	138	0	3185.11647	761.11940	3161.99370	740.04478
20210520-1	0	0	1023.46275	1458.80597	1019.43337	1491.04478
20210520-1	1	0	702.06086	973.49254	769.01259	1057.86567
20210520-1	1	1	489.84680	845.20896	566.20042	918.83582
20210520-1	2	0	487.13116	832.07463	559.04722	831.37313
20210520-1	2	1	485.11647	733.34328	555.68940	731.29851
20210520-1	3	0	2545.84050	1932.92537	2633.35047	2054.55224
20210520-1	3	1	2525.69360	1789.19403	2608.50262	1925.59701
20210520-1	4	0	2590.83526	1935.61194	2673.64428	2049.85075
20210520-1	4	1	2587.47744	1809.34328	2669.61490	1945.74627
20210520-1	5	0	809.48164	737.37313	871.99580	706.44776
20210520-1	6	0	29.54879	832.35821	143.71459	962.91045
20210520-1	7	0	1130.11542	769.70149	1188.33578	727.62687
20210520-1	8	0	2347.25708	1852.82090	2439.17838	1961.19403
20210520-1	9	0	2196.04197	1769.76119	2283.13956	1809.94030
20210520-1	10	0	3173.81532	1767.47761	3233.40923	1837.67164
20210520-1	11	0	3073.08080	1734.56716	3125.95908	1761.77612
20210520-1	12	0	3099.27177	1772.17910	3153.49318	1804.08955
20210520-1	13	0	2197.46800	758.22388	2191.22246	702.32836
20210520-1	14	0	2459.46800	892.23881	2440.75236	978.23881
20210520-1	15	0	2659.59391	924.47761	2630.80483	1050.77612
20210520-1	16	0	2591.88982	746.22388	2560.90451	879.19403
20210520-1	17	0	2875.61070	555.11940	2856.80588	909.94030
20210520-1	18	0	2899.93389	597.01493	2882.41448	711.52239
20210520-1	19	0	2525.34103	758.13433	2510.30640	721.16418
20210520-1	20	0	2652.96747	689.98507	2638.45855	613.00000
20210520-1	21	0	3228.64953	743.97015	3201.32109	762.25373
20210520-1	22	0	3231.33578	705.68657	3203.33578	731.35821
20210520-1	23	0	3034.82581	837.26866	2998.80063	913.97015
20210520-1	24	0	77.22980	1666.73134	69.17104	1994.77612
20210520-1	25	0	232.36097	1665.16418	220.27282	1975.97015
20210520-1	26	0	482.49213	1858.11940	461.29276	2022.53731
20210520-1	27	0	1039.62539	1837.49254	993.84575	2050.52239
20210520-1	28	0	764.75341	1737.22388	746.93914	1864.89552
20210520-1	29	0	852.72823	1720.43284	832.22770	1833.32836
20210520-1	30	0	802.67891	1563.11940	793.27702	1670.79104
20210520-1	31	0	428.06716	1652.58209	418.71878	1750.10448
20210520-1	32	0	2875.66422	1722.19403	2939.08604	1787.65672
20210520-1	33	0	2816.60021	1817.43284	2879.32109	1886.55224
20210520-1	34	0	345.28227	1747.41791	337.13641	1875.89552
20210520-1	35	0	485.63903	1835.40299	467.41973	1953.13433
20210520-1	36	0	2305.76705	784.88060	2293.41973	799.89552
20210520-1	37	0	2032.38510	1818.07463	2136.32529	1826.25373
20210520-1	38	0	3328.01259	1770.23881	3381.85519	1733.25373
20210520-1	39	0	2863.22770	880.10448	2830.76285	947.25373
20210520-1	40	0	871.56139	667.53731	925.52256	590.05970
20210520-1	41	0	338.47849	908.71642	429.98741	1041.89552
20210520-1	41	1	350.56663	801.25373	434.01679	943.16418
20210520-1	42	0	487.74292	1704.62687	472.64953	1782.49254
20210520-1	42	1	477.66946	1634.10448	467.27702	1716.00000
20210520-1	43	0	3553.24239	1978.38806	3603.73662	2127.76119
20210520-1	43	1	3520.33578	1821.22388	3574.18783	1967.23881
20210520-1	44	0	1320.57503	801.88060	1365.95278	803.74627
20210520-1	45	0	1219.84050	776.35821	1269.24764	774.86567
20210520-1	46	0	896.85205	683.23881	951.50787	633.19403
20210520-1	47	0	581.76180	1634.10448	569.35467	1751.59701
20210520-1	48	0	1030.43442	1433.80597	1021.55194	1562.01493
20210520-1	49	0	1316.02204	1652.77612	1262.59077	1919.52239
20210520-1	50	0	1308.63484	1736.05970	1257.21826	1900.71642
20210520-1	51	0	1234.40923	1827.50746	1148.53725	2070.00000
20210520-1	52	0	934.80588	1780.98507	882.50787	2092.16418
20210520-1	53	0	1010.02099	1753.44776	969.13956	1952.46269
20210520-1	54	0	19.47534	1750.83582	21.49003	1903.37313
