OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
20210519-1	1.09	2023 03 01 11:40:44	E:\20210519_1108-1552\	20210519-1.EMObs
20210519-2	1.09	2023 03 01 11:40:44	E:\20210519_1108-1552\	20210519-2.EMObs
20210520-1	1.09	2023 03 01 11:40:44	E:\20210520_0809-1314\	20210520-1.EMObs
20220519-1-NAKED	1.09	2023 03 01 11:40:44	F:\20220519\	20220519-1-NAKED.EMObs
20220519-1-SQUID	1.09	2023 03 01 11:40:44	F:\20220519\	20220519-1-SQUID.EMObs
20220519-2-NAKED	1.09	2023 03 01 11:40:44	F:\20220519\	20220519-2-NAKED.EMObs
20220521-2-SQUID	1.09	2023 03 01 11:40:44	F:\20220521\	20220521-2-SQUID.EMObs
20220521-3-NAKED	1.09	2023 03 01 11:40:44	F:\20220521\	20220521-3-NAKED.EMObs
20220521-3-SQUID	1.09	2023 03 01 11:40:44	F:\20220521\	20220521-3-SQUID.EMObs
20220521-4-NAKED	1.09	2023 03 01 11:40:44	F:\20220521\	20220521-4-NAKED.EMObs
20220521-4	1.09	2023 03 01 11:40:44	F:\20220521\	20220521-4-NAKED2.EMObs
20220523-1-NAKED	1.09	2023 03 01 11:40:44	F:\20220523\	20220523-1-NAKED.EMObs
20220523-2-NAKED	1.09	2023 03 01 11:40:44	F:\20220523\	20220523-2-NAKED.EMObs
20220523-3-NAKED	1.09	2023 03 01 11:40:44	F:\20220523\	20220523-3-NAKED.EMObs
20220523-3-SQUID	1.09	2023 03 01 11:40:44	F:\20220523\	20220523-3-SQUID.EMObs
20220523-4-SQUID	1.09	2023 03 01 11:40:44	F:\20220523\	20220523-4-SQUID.EMObs
20220523-5-SQUID	1.09	2023 03 01 11:40:44	F:\20220523\	20220523-5-SQUID.EMObs
20220524-SQUID-1	1.09	2023 03 01 11:40:44	F:\20220524\	20220524-1-SQUID.EMObs
20220525-SQUID-1	1.09	2023 03 01 11:40:44	F:\20220525\	20220525-1-SQUID.EMObs
20220525-2-SQUID	1.09	2023 03 01 11:40:44	F:\20220525\	20220525-2-SQUID.EMObs
20220525-3-NAKED	1.09	2023 03 01 11:40:44	F:\20220525\	20220525-3-NAKED.EMObs
20220525-3-SQUID	1.09	2023 03 01 11:40:44	F:\20220525\	20220525-3-SQUID.EMObs
20220525-4-NAKED	1.09	2023 03 01 11:40:44	F:\20220525\	20220525-4-NAKED.EMObs
20220525-5-NAKED	1.09	2023 03 01 11:40:44	F:\20220525\	20220525-5-NAKED.EMObs
20220526-1-SQUID	1.09	2023 03 01 11:40:44	F:\20220526\	20220526-1-SQUID.EMObs
20220526-2-NAKED	1.09	2023 03 01 11:40:44	F:\20220526\	20220526-2-NAKED.EMObs
20220526-2-SQUID	1.09	2023 03 01 11:40:44	F:\20220526\	20220526-2-SQUID.EMObs
20220526-3-NAKED	1.09	2023 03 01 11:40:44	F:\20220526\	20220526-3-NAKED.EMObs
20220527-1-NAKED	1.09	2023 03 01 11:40:44	F:\20220527\	20220527-1-NAKED.EMObs
20220527-2-SQUID	1.09	2023 03 01 11:40:44	F:\20220527\	20220527-2-SQUID.EMObs
