Sample,Latitude,Longitude,Status,Date.time,Site,Location,Depth,Observer.count,Observer.length,Successful.count,Successful.length,Comment
01,-34.128599,114.930865,No-take,02/06/20 1:10,c1,South-west,46.7,Hayley,Rachel,Yes,Yes,NA
02,-34.125316,114.928838,No-take,02/06/20 1:18,c1,South-west,44.4,Hayley,Rachel,Yes,No,NA
03,-34.126906,114.925945,No-take,02/06/20 1:27,c1,South-west,39.3,Hayley,Rachel,Yes,Yes,missing backwards habitat image - Claude
04,-34.122634,114.920337,No-take,02/06/20 1:44,c2,South-west,44.1,Hayley,Rachel,Yes,Yes,NA
05,-34.131497,114.915753,No-take,02/06/20 1:57,c3,South-west,44.1,Hayley,Rachel,Yes,Yes,NA
06,-34.132842,114.912405,No-take,02/06/20 2:06,c3,South-west,43.2,Hayley,Rachel,Yes,Yes,NA
07,-34.134771,114.910241,No-take,02/06/20 2:16,c3,South-west,43.9,Hayley,upside down + 2k,Yes,No,NA
08,-34.129352,114.911755,No-take,02/06/20 5:48,c3,South-west,39.6,Hayley,Rachel,Yes,Yes,NA
09,-34.119541,114.916105,No-take,02/06/20 3:45,c2,South-west,43.8,Hayley,Rachel,Yes,Yes,NA
10,-34.117294,114.918685,No-take,02/06/20 3:51,c2,South-west,45.7,Hayley,Rachel,Yes,Yes,NA
11,-34.117752,114.92306,No-take,02/06/20 5:55,c2,South-west,45.08,Hayley,Rachel,Yes,Yes,NA
12,-34.132262,114.928545,No-take,02/06/20 4:03,c1,South-west,40.1,Hayley,Rachel,Yes,Yes,NA
13,-34.128506,114.930547,No-take,02/06/20 4:09,c1,South-west,45.2,Hayley,Rachel,Yes,Yes,NA
14,-34.128381,114.925457,No-take,02/06/20 4:16,c1,South-west,35,Hayley,Rachel,Yes,No,NA
15,-34.125012,114.91032,No-take,02/06/20 6:09,c3,South-west,43,Hayley,Rachel,Yes,Yes,NA
16,-34.126181,114.906548,No-take,02/06/20 6:14,c3,South-west,40.9,Hayley,Rachel,Yes,Yes,NA
17,-34.132142,114.92083,No-take,02/06/20 6:20,c3,South-west,40.2,Hayley,Rachel,Yes,Yes,NA
18,-34.128679,114.924078,No-take,02/06/20 6:25,c1,South-west,35.8,Hayley,Rachel,Yes,No,NA
19,-34.122542,114.927818,No-take,02/06/20 6:30,c1,South-west,44.9,NA,gopro,No,No,NA
20,-34.130219,114.820233,No-take,03/06/20 0:16,c8,South-west,51.7,Hayley,NA,Yes,No,NA
21,-34.128151,114.817448,No-take,03/06/20 0:24,c8,South-west,52.4,Hayley,Rachel,Yes,Yes,NA
22,-34.126271,114.819552,No-take,03/06/20 0:32,c8,South-west,51.9,Hayley,Rachel,Yes,Yes,NA
23,-34.124217,114.817017,No-take,03/06/20 0:38,c8,South-west,51.3,Hayley,Rachel,Yes,Yes,NA
24,-34.118739,114.826402,No-take,03/06/20 0:47,c7,South-west,49.8,Hayey,Rachel,Yes,Yes,NA
25,-34.116829,114.828432,No-take,03/06/20 0:54,c7,South-west,48.4,Hayley,Rachel,Yes,Yes,NA
26,-34.120881,114.828907,No-take,03/06/20 1:02,c7,South-west,48.4,Hayley,Rachel,Yes,Yes,NA
27,-34.121824,114.832898,No-take,03/06/20 2:19,c7,South-west,47.8,Hayley,Rachel,Yes,Yes,NA
28,-34.112916,114.852137,No-take,03/06/20 2:27,c6,South-west,44.7,Hayley,Rachel,Yes,Yes,NA
29,-34.111084,114.855648,No-take,03/06/20 2:31,c6,South-west,43,Hayley,Rachel,Yes,Yes,NA
30,-34.112094,114.85946,No-take,03/06/20 2:37,c6,South-west,42.9,Hayley,Rachel,Yes,Yes,NA
31,-34.116007,114.860738,No-take,03/06/20 2:42,c6,South-west,44.4,Hayley,Rachel,Yes,Yes,NA
32,-34.130076,114.86109,No-take,03/06/20 2:49,c5,South-west,43.2,Hayley,Rachel,Yes,Yes,NA
33,-34.133067,114.8627,No-take,03/06/20 2:54,c5,South-west,43.6,Hayley,upside down,Yes,No,NA
34,-34.131334,114.866053,No-take,03/06/20 4:18,c5,South-west,42.7,Hayley,Claude,Yes,Yes,NA
35,-34.134801,114.869348,No-take,03/06/20 4:23,c5,South-west,43.8,Hayley,Rachel,Yes,Yes,NA
36,-34.130484,114.878263,No-take,03/06/20 4:29,c4,South-west,42.2,Hayey,Rachel,Yes,Yes,NA
37,-34.126354,114.878937,No-take,03/06/20 4:34,c4,South-west,41.2,Hayley,Rachel,Yes,Yes,NA
38,-34.127912,114.883938,No-take,03/06/20 4:39,c4,South-west,41.8,Hayley,Rachel,Yes,Yes,NA
39,-34.132294,114.884797,No-take,03/06/20 4:42,c4,South-west,42.2,Hayley,Rachel,Yes,Yes,NA
40,-34.133669,114.880443,No-take,03/06/20 4:46,c4,South-west,41.2,Hayley,Rachel,Yes,Yes,NA
08 - failed,-34.129336,114.911822,No-take,02/06/20 3:36,c3,South-west,41.7,NA,NA,No,No,NA
11 - failed,-34.117769,114.923158,No-take,02/06/20 3:55,c2,South-west,46.7,NA,NA,No,No,NA
