"sample","latitude","longitude","status","date.time","site","location","depth","observer.count","observer.length","successful.count","successful.length","comment"
"IO266",-34.02118897,114.7588721,"Fished","2020-10-15T08:06:00+08:00","C.IO.23","South-west",67.3,"Hayley","Claude","Yes","Yes",NA
"IO267",-34.02618897,114.7638721,"Fished","2020-10-15T08:11:00+08:00","C.IO.23","South-west",62.5,"Daphne",NA,"Yes","No","snagged slightly, R was accidentally turned off during inserting"
"IO269",-33.98868897,114.8138721,"Fished","2020-10-19T07:18:00+08:00","C.IO.22","South-west",47.6,"Brooke Gibbons","Claude","Yes","Yes",NA
"IO272",-34.00868897,114.8138721,"Fished","2020-10-19T06:56:00+08:00","C.IO.21","South-west",49.2,"Daphne",NA,"Yes","No","L373 didn't record anything"
"IO273",-33.99868897,114.8213721,"Fished","2020-10-19T07:07:00+08:00","C.IO.22","South-west",44.9,"Rachel","Claude","Yes","Yes",NA
"IO275",-34.09868897,114.6463721,"No-take","2020-10-23T14:38:00+08:00","C.IO.15","South-west",140,"Daphne",NA,"Yes","No","Memory card error - tried to recover data but failed"
"IO276",-34.10118897,114.6363721,"No-take","2020-10-23T07:34:00+08:00","C.IO.15","South-west",140,"Rachel","Claude","Yes","Yes",NA
"IO277",-34.10618897,114.6463721,"No-take","2020-10-23T07:53:00+08:00","C.IO.15","South-west",139,"Brooke Gibbons","Claude","Yes","Yes","R cam obstructed hard to measure"
"IO278",-34.11118897,114.6388721,"No-take","2020-10-23T07:45:00+08:00","C.IO.15","South-west",140,"Brooke Gibbons","Claude","Yes","Yes","Retreoved out of order (278 picked up before 277) - Still an hour deployment for 277"
"IO280",-34.08868897,114.6738721,"No-take","2020-10-23T09:24:00+08:00","C.IO.14","South-west",139,"Rachel","Claude","Yes","Yes",NA
"IO290",-34.06868897,114.7188721,"No-take","2020-10-23T07:07:00+08:00","C.IO.13","South-west",124,"Rachel","Claude","Yes","Yes","filmed 302 changed to 290"
"IO291",-34.08368897,114.7488721,"No-take","2020-10-22T13:09:00+08:00","C.IO.12","South-west",109,"Rachel","Claude","Yes","Yes",NA
"IO293",-34.08868897,114.7588721,"No-take","2020-10-22T12:55:00+08:00","C.IO.12","South-west",111,"Claude","Brooke","Yes","Yes",NA
"IO294",-34.08368897,114.7538721,"No-take","2020-10-22T13:04:00+08:00","C.IO.12","South-west",114,"Rachel","Brooke Gibbons","Yes","Yes",NA
"IO295",-34.10368897,114.7538721,"No-take","2020-10-22T12:25:00+08:00","C.IO.11","South-west",109,"Rachel","Claude","Yes","Yes",NA
"IO297",-34.10618897,114.7488721,"No-take","2020-10-22T12:21:00+08:00","C.IO.11","South-west",114,"Rachel","Claude","Yes","Yes",NA
"IO298",-34.07618897,114.6713721,"No-take","2020-10-23T09:39:00+08:00","C.IO.14","South-west",138,"Rachel","Brooke Gibbons","Yes","Yes",NA
"IO299",-34.08118897,114.6763721,"No-take","2020-10-23T09:32:00+08:00","C.IO.14","South-west",139,"Rachel","Brooke Gibbons","Yes","Yes",NA
"IO3",-34.07618897,114.7838721,"No-take","2020-10-15T12:03:00+08:00","C.IO.43","South-west",62,"Hayley","Claude","Yes","Yes","Forgot time and depth but are good estimates - Pulls up at 59.12"
"IO300",-34.08618897,114.6688721,"No-take","2020-10-23T07:18:00+08:00","C.IO.14","South-west",138,"Brooke Gibbons","Claude","Yes","Yes",NA
"IO302",-34.07118897,114.7238721,"No-take","2020-10-23T07:13:00+08:00","C.IO.13","South-west",122,"Rachel","Claude","Yes","Yes",NA
"IO306",-34.10118897,114.7338721,"No-take","2020-10-22T10:29:00+08:00","C.IO.10","South-west",124,"Rachel","Claude","Yes","Yes",NA
"IO307",-34.11868897,114.7263721,"No-take","2020-10-22T09:56:00+08:00","C.IO.9","South-west",128,"Daphne - finishes at 59:36","Claude","Yes","Yes",NA
"IO308",-34.11118897,114.7288721,"No-take","2020-10-22T10:06:00+08:00","C.IO.9","South-west",126,"Rachel","Claude","Yes","Yes",NA
"IO310",-34.05868897,114.7738721,"No-take","2020-10-15T10:06:00+08:00","C.IO.8","South-west",64.7,"Brooke Gibbons","Claude","Yes","Yes",NA
"IO311",-34.05618897,114.7688721,"No-take","2020-10-15T10:03:00+08:00","C.IO.8","South-west",66.1,"Brooke Gibbons","Claude","Yes","Yes",NA
"IO312",-34.05868897,114.7788721,"No-take","2020-10-15T10:17:00+08:00","C.IO.8","South-west",61.2,"Hayley","Claude","Yes","Yes",NA
"IO313",-34.09618897,114.7563721,"No-take","2020-10-22T12:47:00+08:00","C.IO.11","South-west",108,"Rachel","Brooke Gibbons","Yes","Yes","Too close to 330"
"IO319",-34.09368897,114.7313721,"No-take","2020-10-22T10:37:00+08:00","C.IO.10","South-west",124,"Rachel","Claude","Yes","Yes",NA
"IO323",-34.03103333,114.6001,"Fished","2020-10-23T09:48:00+08:00","C.IO.27","South-west",141,"Daphne","Claude","Yes","Yes",NA
"IO324",-34.00006,114.639778,"Fished","2020-10-23T11:59:00+08:00","C.IO.26","South-west",141,"Rachel","Brooke Gibbons","Yes","Yes",NA
"IO325",-33.991557,114.743378,"Fished","2020-10-15T07:44:00+08:00","C.IO.25","South-west",85,"Hayley","Claude","Yes","Yes","tangled at surface and dragged then dropped"
"IO326",-34.00425,114.6892833,"Fished","2020-10-23T12:26:00+08:00","C.IO.24","South-west",121,"Daphne",NA,"Yes","No","Memory card error - tried to recover data but failed"
"IO327",-34.02946667,114.7623833,"Fished","2020-10-15T08:17:00+08:00","C.IO.23","South-west",65.4,"Hayley","Claude","Yes","Yes",NA
"IO328",-33.99356667,114.8213667,"Fished","2020-10-19T07:13:00+08:00","C.IO.22","South-west",43.8,"Rachel","Claude","Yes","Yes",NA
"IO329",-34.06481667,114.7266333,"No-take","2020-10-23T07:18:00+08:00","C.IO.13","South-west",121,"Rachel","Brooke Gibbons","Yes","Yes",NA
"IO330",-34.08833333,114.7545,"No-take","2020-10-22T13:00:00+08:00","C.IO.12","South-west",116,"Rachel","Claude","Yes","Yes",NA
"IO331",-34.0984,114.75005,"No-take","2020-10-22T12:30:00+08:00","C.IO.11","South-west",112,"Rachel","Brooke Gibbons","Yes","Yes",NA
"IO332",-34.09718333,114.7344833,"No-take","2020-10-22T10:33:00+08:00","C.IO.10","South-west",124,"Rachel","Claude","Yes","Yes","L brightness weird."
"IO333",-34.11301667,114.7251333,"No-take","2020-10-22T10:01:00+08:00","C.IO.9","South-west",127,"Rachel","Claude","Yes","Yes","Wobby ate bait bag off and dragged it"
"IO334",-34.06155,114.7753667,"No-take","2020-10-15T10:11:00+08:00","C.IO.8","South-west",64,"Hayley","Claude","Yes","Yes",NA
"IO335",-34.06686667,114.7939833,"No-take","2020-10-15T10:31:00+08:00","C.IO.7","South-west",58,"Hayley","Claude","Yes","Yes","maxn right camera"
"IO336",-34.0924,114.8663667,"No-take","2020-10-16T10:03:00+08:00","C.IO.6","South-west",43.2,"Daphne",NA,"Yes","No","R did not record"
"IO337",-34.00536667,114.8202333,"Fished","2020-10-19T07:02:00+08:00","C.IO.21","South-west",43,"Daphne","Claude","Yes","Yes","Light didn't work"
"IO338",-33.97231667,114.92245,"Fished","2020-10-19T11:50:00+08:00","C.IO.20","South-west",46,"Daphne","Claude","Yes","Yes",NA
"IO339",-34.01461667,114.8785,"Fished","2020-10-19T09:41:00+08:00","C.IO.19","South-west",41.1,"Daphne","Claude","Yes","Yes",NA
"IO34",-34.06118897,114.8713721,"No-take","2020-10-16T08:02:00+08:00","C.IO.35","South-west",41.3,"Brooke Gibbons","Ramesh/Claude","Yes","Yes",NA
"IO343",-34.10261667,114.6407167,"No-take","2020-10-23T07:38:00+08:00","C.IO.15","South-west",140,"Rachel","Claude","Yes","Yes","Skippy spot - lots of sampson fish"
"IO344",-34.0844,114.6744,"No-take","2020-10-23T09:28:00+08:00","C.IO.14","South-west",138,"Daphne",NA,"Yes","No","L card failed to record"
"IO349",-34.02368897,114.5963721,"Fished","2020-10-23T10:03:00+08:00","C.IO.27","South-west",133,"Rachel","Claude","Yes","Yes",NA
"IO350",-34.02618897,114.6038721,"Fished","2020-10-23T09:56:00+08:00","C.IO.27","South-west",135,"Brooke Gibbons","Claude","Yes","Yes","Need to back up right camera onto RAW5"
"IO351",-34.03118897,114.5963721,"Fished","2020-10-23T10:13:00+08:00","C.IO.27","South-west",142,"Daphne","Claude","Yes","Yes",NA
"IO352",-34.03618897,114.5988721,"Fished","2020-10-23T09:43:00+08:00","C.IO.27","South-west",133,"Rachel","Claude","Yes","Yes",NA
"IO353",-34.05436667,114.8390667,"No-take","2020-10-15T14:43:00+08:00","C.IO.5","South-west",44.1,"Hayley","Claude","Yes","Yes",NA
"IO354",-34.06605,114.84,"No-take","2020-10-15T14:29:00+08:00","C.IO.4","South-west",45,"Brooke Gibbons","Claude","Yes","Yes","filmed 254 but was 354"
"IO355",-34.05473333,114.9111,"No-take","2020-10-29T10:38:00+08:00","C.IO.3","South-west",45,"Rachel","Claude","Yes","Yes","Filmed 213 should be 355."
"IO356",-34.06956667,114.9184667,"No-take","2020-10-16T12:39:00+08:00","C.IO.2","South-west",46.8,"Claude","Brooke Gibbons","Yes","Yes",NA
"IO357",-34.08496667,114.928,"No-take","2020-10-16T12:08:00+08:00","C.IO.1","South-west",45.9,"Hayley","Claude","Yes","Yes",NA
"IO36",-34.10368897,114.7188721,"No-take","2020-10-22T10:23:00+08:00","C.IO.55","South-west",130,"Rachel","Claude","Yes","Yes",NA
"IO361",-33.98868897,114.7413721,"Fished","2020-10-15T07:35:00+08:00","C.IO.25","South-west",84.7,"Hayley","Claude","Yes","Yes",NA
"IO363",-33.98618897,114.7513721,"Fished","2020-10-15T07:26:00+08:00","C.IO.25","South-west",66.2,"Brooke Gibbons","Claude","Yes","Yes",NA
"IO364",-34.00868897,114.6888721,"Fished","2020-10-23T12:21:00+08:00","C.IO.24","South-west",130,"Daphne","Claude","Yes","Yes",NA
"IO365",-34.02368897,114.7538721,"Fished","2020-10-15T08:23:00+08:00","C.IO.23","South-west",73.7,"Brooke Gibbons","Claude","Yes","Yes",NA
"IO369",-34.02868897,114.5913721,"Fished","2020-10-23T10:08:00+08:00","C.IO.27","South-west",133,"Rachel","Claude","Yes","Yes",NA
"IO37",-34.10868897,114.7188721,"No-take","2020-10-22T10:12:00+08:00","C.IO.55","South-west",130,"Brooke Gibbons","Claude","Yes","Yes","Possibly too close spatially to 308. Skipped frames"
"IO370",-33.99618897,114.6463721,"Fished","2020-10-23T12:10:00+08:00","C.IO.26","South-west",141,"Rachel","Claude","Yes","Yes",NA
"IO372",-34.00618897,114.6438721,"Fished","2020-10-23T11:53:00+08:00","C.IO.26","South-west",140,"Daphne - period end @ 58:40",NA,"Yes","No","R card failed"
"IO374",-33.98618897,114.7463721,"Fished","2020-10-15T07:31:00+08:00","C.IO.25","South-west",72.9,"Hayley","Claude","Yes","Yes",NA
"IO377",-34.13868897,114.7588721,"No-take","2020-10-22T07:40:00+08:00","C.IO.69","South-west",113,"Rachel","Claude","Yes","Yes","Picked up by whale - picks up at 48:15, dragged up for about 30s then falls landing again at 49:10, same habitat, bait bag was empty beforehand and fish were bascially gone too, points marked as after"
"IO378",-33.99368897,114.6388721,"Fished","2020-10-23T12:04:00+08:00","C.IO.26","South-west",141,"Rachel","Claude","Yes","Yes","filmed 370, refilmed when bait bag chop at bait. good video of small yellow shark and squalus dude, sharkmania"
"IO379",-34.08368897,114.6813721,"No-take","2020-10-23T06:58:00+08:00","C.IO.14","South-west",138,"Rachel","Claude","Yes","Yes",NA
"IO4",-34.09118897,114.7813721,"No-take","2020-10-15T12:17:00+08:00","C.IO.43","South-west",65.6,"Hayley","Claude","Yes","Yes",NA
"IO40",-34.10368897,114.7138721,"No-take","2020-10-22T10:17:00+08:00","C.IO.55","South-west",131,"Brooke Gibbons","Claude","Yes","Yes","Skipped frames"
"IO46",-34.06868897,114.7113721,"No-take","2020-10-23T06:44:00+08:00","C.IO.34","South-west",129,"Rachel","Claude","Yes","Yes",NA
"IO47",-34.06368897,114.7113721,"No-take","2020-10-23T06:53:00+08:00","C.IO.34","South-west",127,"Rachel","Claude","Yes","Yes",NA
"IO49",-34.06118897,114.7063721,"No-take","2020-10-23T06:59:00+08:00","C.IO.34","South-west",129,"Rachel","Brooke Gibbons","Yes","Yes","Not much light"
"IO5",-34.08868897,114.7763721,"No-take","2020-10-15T12:12:00+08:00","C.IO.43","South-west",66.7,"Claude","Brooke Gibbons","Yes","Yes",NA
"IO58",-34.13618897,114.7738721,"No-take","2020-10-22T07:21:00+08:00","C.IO.69","South-west",92.7,"Brooke Gibbons","Claude","Yes","Yes",NA
"IO59",-34.14118897,114.7663721,"No-take","2020-10-22T07:33:00+08:00","C.IO.69","South-west",109,"Rachel","Claude","Yes","Yes",NA
"IO62",-34.13368897,114.7663721,"No-take","2020-10-22T07:45:00+08:00","C.IO.69","South-west",105,"Brooke Gibbons","Claude","Yes","Yes","L out of focus. L cuts at 55 mins"
"IO64",-34.01368897,114.8963721,"Fished","2020-10-19T11:26:00+08:00","C.IO.47","South-west",43.3,"Ramesh","Claude","Yes","Yes",NA
"IO65",-34.01118897,114.8888721,"Fished","2020-10-19T11:20:00+08:00","C.IO.53","South-west",43,"Ramesh","Claude","Yes","Yes",NA
"IO66",-34.01618897,114.8813721,"Fished","2020-10-19T09:36:00+08:00","C.IO.19","South-west",42.8,"Rachel","Claude","Yes","Yes",NA
"IO71",-34.00368897,114.6988721,"Fished","2020-10-23T12:31:00+08:00","C.IO.41","South-west",121,"Rachel","Claude","Yes","Yes",NA
"IO72",-34.03618897,114.8463721,"Fished","2020-10-19T09:05:00+08:00","C.IO.60","South-west",43.6,"Ramesh","Claude","Yes","Yes",NA
"IO73",-34.02868897,114.8588721,"Fished","2020-10-19T09:22:00+08:00","C.IO.60","South-west",40.4,"Ramesh",NA,"Yes","No","L372 didn't record anything"
"IO74",-34.02868897,114.8513721,"Fished","2020-10-19T09:14:00+08:00","C.IO.60","South-west",42.2,"Rachel","Claude","Yes","Yes",NA
"IO75",-34.03368897,114.8538721,"Fished","2020-10-19T09:10:00+08:00","C.IO.60","South-west",42.2,"Rachel","Claude","Yes","Yes",NA
"IO80",-34.09368897,114.8888721,"No-take","2020-10-16T10:30:00+08:00","C.IO.52","South-west",41.6,"Hayley","Claude","Yes","Yes",NA
"IO81",-34.09868897,114.8913721,"No-take","2020-10-16T10:20:00+08:00","C.IO.52","South-west",42,"Hayley","Claude","Yes","Yes","Missing Backwards Habitat"
"IO91",-34.09368897,114.8938721,"No-take","2020-10-16T10:25:00+08:00","C.IO.52","South-west",43.5,"Hayley","Claude","Yes","Yes",NA
"IO92",-34.09868897,114.8863721,"No-take","2020-10-16T10:16:00+08:00","C.IO.52","South-west",42.3,"Brooke Gibbons","Claude","Yes","Yes",NA
"IO95",-34.12618897,114.7338721,"No-take","2020-10-22T08:21:00+08:00","C.IO.68","South-west",124,"Daphne","Claude","Yes","Yes",NA
"IO96",-34.13618897,114.7363721,"No-take","2020-10-22T08:06:00+08:00","C.IO.68","South-west",127,"Brooke Gibbons","Rachel","Yes","Yes","Wasn't on BU4, have re copied over"
"IO98",-34.13368897,114.7313721,"No-take","2020-10-22T08:13:00+08:00","C.IO.68","South-west",128,"Daphne","Claude","Yes","Yes","Not on BU4, need to back up on BU3 (BU4 is out of mem)"
"IOC04",-34.08755,114.749265,"No-take","2020-10-22T13:16:00+08:00","C.IO.12","South-west",109,"Rachel","Claude","Yes","Yes","Clusters overlapped so created new point."
"IOC05",-34.05394,114.899843,"No-take","2020-10-29T10:46:00+08:00","C.IO.3","South-west",43.2,"Rachel","Claude","Yes","Yes","strong surge"
"IO215",-34.06868897,114.9263721,"No-take","2020-10-16T12:34:00+08:00","C.IO.2","South-west",46.7,"Hayley","Ramesh/Claude","Yes","Yes",NA
"IOCP11-1",-33.992845,114.696642,"Fished","2020-10-23T12:39:00+08:00","C.IO.41","South-west",124,"Daphne","Claude","Yes","Yes",NA
"IOCP11-2",-33.974332,114.692773,"Fished","2020-10-23T12:47:00+08:00","C.IO.41","South-west",124,"Daphne","Claude","Yes","Yes","absolute bust up"
"IOCP2311",-34.01858,114.601465,"Fished","2020-10-23T10:19:00+08:00","C.IO.46","South-west",142,"Daphne","Claude","Yes","Yes","Rear facing camera corrupt memory card"
"IOREDO344",-34.0844,114.6744,"No-take","2020-10-23T07:12:00+08:00","C.IO.14","South-west",138,"Daphne - finishes at 59:27","Claude","Yes","Yes","Redone because first time 344 was done young Dean was off mark. Rear facing camera corrupt memory card"
