"sample","latitude","longitude","status","date.time","site","location","depth","observer.count","observer.length","successful.count","successful.length","comment"
"FH23",-33.94618897,114.8288721,"Fished","2020-10-13T09:51:00+08:00","C.FH.22","South-west",44.2,"Daphne","Rachel","Yes","Yes",NA
"FH24",-33.66868897,114.8438721,"Fished","2020-10-12T07:55:00+08:00","C.FH.1","South-west",47.6,"Brooke Gibbons","Ramesh/Claude","Yes","Yes",NA
"FH25",-33.87868897,114.8163721,"Fished","2020-10-13T07:34:00+08:00","C.FH.16","South-west",45.4,"Hayley","Claude","Yes","Yes",NA
"FH26",-33.81118897,114.8288721,"Fished","2020-10-12T15:10:00+08:00","C.FH.13","South-west",44.1,"Daphne","Rachel","Yes","check calibration","Habitat images for 439 saved in 563 folder"
"FH27",-33.83618897,114.8713721,"Fished","2020-10-12T15:39:00+08:00","C.FH.14","South-west",42.9,"Daphne","Rachel","Yes","Yes",NA
"FH28",-33.76368897,114.9338721,"Fished","2020-10-17T09:24:00+08:00","C.FH.9","South-west",44.7,"Daphne","Brooke Gibbons","Yes","Yes","tangled"
"FH30",-33.75118897,114.8888721,"Fished","2020-10-17T11:12:00+08:00","C.FH.8","South-west",46.2,"Daphne","Brooke Gibbons","Yes","Yes",NA
"FH31",-33.67368897,114.8238721,"Fished","2020-10-12T08:27:00+08:00","C.FH.2","South-west",45.4,"Daphne","Rachel","Yes","Yes",NA
"FH32",-33.69618897,114.9463721,"No-take","2020-10-17T08:50:00+08:00","C.FH.5","South-west",42.9,"Daphne",NA,"Yes","No","L375 card didn't record, always was not on the bottom properly"
"FH33",-33.70868897,114.8263721,"Fished","2020-10-12T10:54:00+08:00","C.FH.6","South-west",42.3,"Daphne",NA,"Yes","No","left cuts out @ 30mins"
"FH34",-33.78618897,114.8838721,"Fished","2020-10-17T11:51:00+08:00","C.FH.11","South-west",44.8,"Daphne","Rachel","Yes","Yes",NA
"FH35",-33.88368897,114.9313721,"Fished","2020-10-29T15:09:00+08:00","C.FH.17","South-west",45.2,"Rachel","Claude","Yes","Yes","shit vis"
"FH37",-33.71118897,114.8138721,"Fished","2020-10-12T11:03:00+08:00","C.FH.6","South-west",44.2,"Daphne","Claude","Yes","Yes",NA
"FH39",-33.90368897,114.9313721,"Fished","2020-10-29T14:44:00+08:00","C.FH.18","South-west",44.8,"Daphne","Rachel","Yes","Yes","FHWY"
"FH40",-33.92368897,114.8888721,"Fished","2020-10-29T12:40:00+08:00","C.FH.21","South-west",42.9,"Daphne",NA,"Yes","No","L fail. FHWY."
"FH41",-33.67118897,114.8388721,"Fished","2020-10-12T08:01:00+08:00","C.FH.1","South-west",44.1,"Claude","Rachel","Yes","Yes","filmed 70 but 41"
"FH42",-33.88118897,114.8113721,"Fished","2020-10-13T07:38:00+08:00","C.FH.16","South-west",45.7,"Hayley","Claude","Yes","Yes","kelp obstructing R cam"
"FH44",-33.77118897,114.8638721,"Fished","2020-10-17T11:28:00+08:00","C.FH.10","South-west",43.3,"Daphne","Rachel","Yes","Yes",NA
"FH45",-33.69368897,114.7988721,"Fished","2020-10-12T10:39:00+08:00","C.FH.4","South-west",47.6,"Claude","Rachel","Yes","Yes","was 112 changed to 45. kelp obstructing hard to see fish feed"
"FH46",-33.76618897,114.9288721,"Fished","2020-10-17T09:28:00+08:00","C.FH.9","South-west",44.9,"Daphne","Brooke Gibbons","Yes","Yes",NA
"FH47",-33.90618897,114.8488721,"Fished","2020-10-13T08:09:00+08:00","C.FH.19","South-west",43.5,"Hayley","Claude","Yes","Yes",NA
"FH48",-33.79618897,114.8138721,"Fished","2020-10-12T13:23:00+08:00","C.FH.12","South-west",48.5,"Claude","Rachel","Yes","reconvert R videos","Habitat images for 439 saved in 563 folder"
"FH49",-33.92118897,114.9163721,"Fished","2020-10-29T13:00:00+08:00","C.FH.20","South-west",43.9,"Daphne","Rachel","Yes","Yes","FHWY"
"FH5",-33.69368897,114.9413721,"No-take","2020-10-17T08:46:00+08:00","C.FH.5","South-west",44.5,"Daphne","Rachel","Yes","Yes",NA
"FH50",-33.68118897,114.9313721,"No-take","2020-10-17T06:51:00+08:00","C.FH.3","South-west",44.6,"Daphne","Brooke Gibbons","Yes","Yes",NA
