"sample","longitude","latitude","length","number","scientific","community_thermal_index","location","depth","successful_count","successful_length","status","zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26441/?format=feather",115.3443,-33.5621,259.14414,1,"Choerodon rubescens",21.16713,"Geographe Bay",14.2,TRUE,TRUE,"Fished","Multiple Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26442/?format=feather",115.3481,-33.5711,260.34347,1,"Choerodon rubescens",21.16713,"Geographe Bay",14.7,TRUE,TRUE,"Fished","Multiple Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26443/?format=feather",115.4179,-33.5118,281.67962,1,"Glaucosoma hebraicum",20.95656,"Geographe Bay",15.2,TRUE,TRUE,"Fished","Multiple Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26443/?format=feather",115.4179,-33.5118,280.12114,1,"Bodianus frenchii",20.68325,"Geographe Bay",15.2,TRUE,TRUE,"Fished","Multiple Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26445/?format=feather",115.4064,-33.5162,426.61436,1,"Glaucosoma hebraicum",20.95656,"Geographe Bay",14.5,TRUE,TRUE,"Fished","Multiple Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26445/?format=feather",115.4064,-33.5162,433.72199,1,"Glaucosoma hebraicum",20.95656,"Geographe Bay",14.5,TRUE,TRUE,"Fished","Multiple Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26445/?format=feather",115.4064,-33.5162,359.07896,1,"Glaucosoma hebraicum",20.95656,"Geographe Bay",14.5,TRUE,TRUE,"Fished","Multiple Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26445/?format=feather",115.4064,-33.5162,308.54949,1,"Epinephelides armatus",20.76187,"Geographe Bay",14.5,TRUE,TRUE,"Fished","Multiple Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26445/?format=feather",115.4064,-33.5162,338.23749,1,"Chrysophrys auratus",19.75909,"Geographe Bay",14.5,TRUE,TRUE,"Fished","Multiple Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26194/?format=feather",115.0925,-33.4502,409.45331,1,"Choerodon rubescens",21.16713,"Geographe Bay",42.4,TRUE,TRUE,"Fished","Special Purpose Zone (Mining Exclusion)"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26194/?format=feather",115.0925,-33.4502,461.61804,1,"Epinephelides armatus",20.76187,"Geographe Bay",42.4,TRUE,TRUE,"Fished","Special Purpose Zone (Mining Exclusion)"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,815.23779,1,"Seriola hippos",20.70145,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,879.06466,1,"Dactylophora nigricans",17.42956,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,426.7596,1,"Glaucosoma hebraicum",20.95656,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,72.66813,1,"Austrolabrus maculatus",19.77586,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,311.05992,1,"Coris auricularis",20.79165,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,258.46943,1,"Coris auricularis",20.79165,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,313.82642,1,"Coris auricularis",20.79165,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,277.48277,1,"Coris auricularis",20.79165,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,285.37036,1,"Coris auricularis",20.79165,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,300.10595,1,"Coris auricularis",20.79165,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,311.94365,1,"Coris auricularis",20.79165,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,292.97923,1,"Coris auricularis",20.79165,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,272.0651,1,"Coris auricularis",20.79165,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,272.63427,1,"Coris auricularis",20.79165,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,185.35407,1,"Coris auricularis",20.79165,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,190.04922,1,"Coris auricularis",20.79165,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,265.29171,1,"Coris auricularis",20.79165,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,280.81721,1,"Coris auricularis",20.79165,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,243.59859,1,"Coris auricularis",20.79165,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,264.09447,1,"Coris auricularis",20.79165,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,189.39137,1,"Coris auricularis",20.79165,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,155.87116,1,"Coris auricularis",20.79165,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,174.15394,1,"Coris auricularis",20.79165,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,250.30033,1,"Coris auricularis",20.79165,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,219.01808,1,"Coris auricularis",20.79165,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,241.58472,1,"Coris auricularis",20.79165,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,224.31822,1,"Coris auricularis",20.79165,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,289.49854,1,"Notolabrus parilus",20.24906,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,155.60568,1,"Ophthalmolepis lineolatus",19.33951,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,156.72367,1,"Pseudolabrus biserialis",20.5879,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,139.84507,1,"Acanthaluteres vittiger",15.38922,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,99.2872,1,"Acanthaluteres vittiger",15.38922,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,121.4628,1,"Acanthaluteres vittiger",15.38922,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,228.19583,1,"Parupeneus spilurus",20.24947,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,225.15143,1,"Parupeneus spilurus",20.24947,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,113.62835,1,"Anoplocapros lenticularis",19.95754,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,348.47843,1,"Scorpis aequipinnis",16.62027,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,318.22169,1,"Chrysophrys auratus",19.75909,"Geographe Bay",15,TRUE,TRUE,"Fished","General Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26448/?format=feather",115.3668,-33.3744,801.9452,1,"Seriola hippos",20.70145,"Geographe Bay",31.3,TRUE,TRUE,"Fished","Special Purpose Zone (Mining Exclusion)"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26449/?format=feather",115.3631,-33.3755,111.38225,1,"Parequula melbournensis",17.16455,"Geographe Bay",31.1,TRUE,TRUE,"Fished","Special Purpose Zone (Mining Exclusion)"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26449/?format=feather",115.3631,-33.3755,122.68463,1,"Parequula melbournensis",17.16455,"Geographe Bay",31.1,TRUE,TRUE,"Fished","Special Purpose Zone (Mining Exclusion)"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26449/?format=feather",115.3631,-33.3755,282.50501,1,"Coris auricularis",20.79165,"Geographe Bay",31.1,TRUE,TRUE,"Fished","Special Purpose Zone (Mining Exclusion)"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26449/?format=feather",115.3631,-33.3755,310.91812,1,"Coris auricularis",20.79165,"Geographe Bay",31.1,TRUE,TRUE,"Fished","Special Purpose Zone (Mining Exclusion)"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26449/?format=feather",115.3631,-33.3755,326.65085,1,"Coris auricularis",20.79165,"Geographe Bay",31.1,TRUE,TRUE,"Fished","Special Purpose Zone (Mining Exclusion)"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26449/?format=feather",115.3631,-33.3755,213.55815,1,"Coris auricularis",20.79165,"Geographe Bay",31.1,TRUE,TRUE,"Fished","Special Purpose Zone (Mining Exclusion)"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26449/?format=feather",115.3631,-33.3755,367.48143,1,"Coris auricularis",20.79165,"Geographe Bay",31.1,TRUE,TRUE,"Fished","Special Purpose Zone (Mining Exclusion)"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26449/?format=feather",115.3631,-33.3755,123.3676,1,"Eupetrichthys angustipes",19.25374,"Geographe Bay",31.1,TRUE,TRUE,"Fished","Special Purpose Zone (Mining Exclusion)"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26449/?format=feather",115.3631,-33.3755,167.4688,1,"Ophthalmolepis lineolatus",19.33951,"Geographe Bay",31.1,TRUE,TRUE,"Fished","Special Purpose Zone (Mining Exclusion)"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26449/?format=feather",115.3631,-33.3755,104.32085,1,"Ophthalmolepis lineolatus",19.33951,"Geographe Bay",31.1,TRUE,TRUE,"Fished","Special Purpose Zone (Mining Exclusion)"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26449/?format=feather",115.3631,-33.3755,120.37006,1,"Acanthaluteres vittiger",15.38922,"Geographe Bay",31.1,TRUE,TRUE,"Fished","Special Purpose Zone (Mining Exclusion)"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26449/?format=feather",115.3631,-33.3755,134.31548,1,"Acanthaluteres vittiger",15.38922,"Geographe Bay",31.1,TRUE,TRUE,"Fished","Special Purpose Zone (Mining Exclusion)"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26449/?format=feather",115.3631,-33.3755,158.91885,1,"Acanthaluteres vittiger",15.38922,"Geographe Bay",31.1,TRUE,TRUE,"Fished","Special Purpose Zone (Mining Exclusion)"
