"campaignid","sample","family","genus","species","code","count"
"2019-08_Ningaloo_stereo-BRUVs","1.05","Lethrinidae","Gymnocranius","grandoculis","37351005",6
"2019-08_Ningaloo_stereo-BRUVs","1.05","Lethrinidae","Lethrinus","miniatus","37351009",4
"2019-08_Ningaloo_stereo-BRUVs","1.05","Lethrinidae","Lethrinus","rubrioperculatus","37351012",5
"2019-08_Ningaloo_stereo-BRUVs","1.05","Lutjanidae","Pristipomoides","multidens","37346002",6
"2019-08_Ningaloo_stereo-BRUVs","1.05","Mullidae","Parupeneus","spilurus","37355015",1
"2019-08_Ningaloo_stereo-BRUVs","1.05","Scombridae","Scomberomorus","commerson","37441007",1
"2019-08_Ningaloo_stereo-BRUVs","1.05","Serranidae","Epinephelus","areolatus","37311009",1
"2019-08_Ningaloo_stereo-BRUVs","1.05","Synodontidae","Saurida","undosquamis","37118001",1
"2019-08_Ningaloo_stereo-BRUVs","1.06","Balistidae","Abalistes","filamentosus","37465089",2
"2019-08_Ningaloo_stereo-BRUVs","1.06","Carangidae","Carangoides","chrysophrys","37337011",2
"2019-08_Ningaloo_stereo-BRUVs","1.06","Carangidae","Decapterus","spp",NA,3
"2019-08_Ningaloo_stereo-BRUVs","1.06","Carcharhinidae","Carcharhinus","plumbeus","37018007",1
"2019-08_Ningaloo_stereo-BRUVs","1.06","Labridae","Bodianus","solatus","37384201",1
"2019-08_Ningaloo_stereo-BRUVs","1.06","Lethrinidae","Gymnocranius","euanus","37351022",2
"2019-08_Ningaloo_stereo-BRUVs","1.06","Lethrinidae","Gymnocranius","grandoculis","37351005",3
"2019-08_Ningaloo_stereo-BRUVs","1.06","Lethrinidae","Lethrinus","rubrioperculatus","37351012",7
"2019-08_Ningaloo_stereo-BRUVs","1.06","Lutjanidae","Lutjanus","sebae","37346004",1
"2019-08_Ningaloo_stereo-BRUVs","1.06","Lutjanidae","Pristipomoides","multidens","37346002",13
"2019-08_Ningaloo_stereo-BRUVs","1.06","Lutjanidae","Pristipomoides","typus","37346019",1
"2019-08_Ningaloo_stereo-BRUVs","1.06","Scaridae","Scarus","ghobban","37386001",1
"2019-08_Ningaloo_stereo-BRUVs","1.06","Serranidae","Epinephelus","areolatus","37311009",2
"2019-08_Ningaloo_stereo-BRUVs","1.06","Sparidae","Argyrops","spinifer","37353006",4
"2019-08_Ningaloo_stereo-BRUVs","1.06","Synodontidae","Saurida","undosquamis","37118001",1
"2019-08_Ningaloo_stereo-BRUVs","1.06","Tetraodontidae","Lagocephalus","lunaris","37467012",1
"2019-08_Ningaloo_stereo-BRUVs","1.06","Triakidae","Mustelus","ravidus","37017005",1
"2019-08_Ningaloo_stereo-BRUVs","10.01","Acanthuridae","Naso","hexacanthus","37437028",6
"2019-08_Ningaloo_stereo-BRUVs","10.01","Carangidae","Seriola","dumerili","37337025",1
"2019-08_Ningaloo_stereo-BRUVs","10.01","Carcharhinidae","Carcharhinus","plumbeus","37018007",1
"2019-08_Ningaloo_stereo-BRUVs","10.01","Echeneidae","Echeneis","naucrates","37336001",2
"2019-08_Ningaloo_stereo-BRUVs","10.01","Labridae","Bodianus","solatus","37384201",2
"2019-08_Ningaloo_stereo-BRUVs","10.01","Labridae","Choerodon","zamboangae","37384011",2
"2019-08_Ningaloo_stereo-BRUVs","10.01","Lethrinidae","Gymnocranius","grandoculis","37351005",3
"2019-08_Ningaloo_stereo-BRUVs","10.01","Lethrinidae","Gymnocranius","griseus","37351003",1
"2019-08_Ningaloo_stereo-BRUVs","10.01","Lethrinidae","Lethrinus","miniatus","37351009",5
"2019-08_Ningaloo_stereo-BRUVs","10.01","Lethrinidae","Lethrinus","ravus","37351031",2
"2019-08_Ningaloo_stereo-BRUVs","10.01","Mullidae","Parupeneus","spilurus","37355015",1
"2019-08_Ningaloo_stereo-BRUVs","10.01","Pomacanthidae","Pomacanthus","semicirculatus","37365080",2
"2019-08_Ningaloo_stereo-BRUVs","10.01","Serranidae","Epinephelus","areolatus","37311009",1
"2019-08_Ningaloo_stereo-BRUVs","10.02","Apogonidae","Cheilodipterus","quinquelineatus","37327090",2
"2019-08_Ningaloo_stereo-BRUVs","10.02","Labridae","Bodianus","solatus","37384201",3
"2019-08_Ningaloo_stereo-BRUVs","10.02","Lethrinidae","Gymnocranius","griseus","37351003",1
"2019-08_Ningaloo_stereo-BRUVs","10.02","Lethrinidae","Lethrinus","miniatus","37351009",8
"2019-08_Ningaloo_stereo-BRUVs","10.02","Mullidae","Parupeneus","chrysopleuron","37355016",1
"2019-08_Ningaloo_stereo-BRUVs","10.02","Pinguipedidae","Parapercis","nebulosa","37390005",3
"2019-08_Ningaloo_stereo-BRUVs","10.02","Scaridae","Scarus","ghobban","37386001",1
"2019-08_Ningaloo_stereo-BRUVs","10.02","Serranidae","Epinephelus","areolatus","37311009",1
"2019-08_Ningaloo_stereo-BRUVs","10.02","Serranidae","Epinephelus","rivulatus","37311022",1
"2019-08_Ningaloo_stereo-BRUVs","10.03","Acanthuridae","Acanthurus","mata","37437011",3
"2019-08_Ningaloo_stereo-BRUVs","10.03","Acanthuridae","Naso","hexacanthus","37437028",6
"2019-08_Ningaloo_stereo-BRUVs","10.03","Balistidae","Xanthichthys","lineopunctatus","37465016",2
"2019-08_Ningaloo_stereo-BRUVs","10.03","Caesionidae","Pterocaesio","chrysozona","37346009",42
"2019-08_Ningaloo_stereo-BRUVs","10.03","Carangidae","Carangoides","fulvoguttatus","37337037",1
"2019-08_Ningaloo_stereo-BRUVs","10.03","Chaetodontidae","Heniochus","diphreutes","37365005",3
"2019-08_Ningaloo_stereo-BRUVs","10.03","Haemulidae","Diagramma","pictum labiosum","37350003",1
"2019-08_Ningaloo_stereo-BRUVs","10.03","Holocentridae","Myripristis","botche","37261004",3
"2019-08_Ningaloo_stereo-BRUVs","10.03","Labridae","Bodianus","solatus","37384201",2
"2019-08_Ningaloo_stereo-BRUVs","10.03","Labridae","Labroides","dimidiatus","37384028",1
"2019-08_Ningaloo_stereo-BRUVs","10.03","Labridae","Pseudojuloides","sp1",NA,3
"2019-08_Ningaloo_stereo-BRUVs","10.03","Labridae","Suezichthys","cyanolaemus","37384161",1
"2019-08_Ningaloo_stereo-BRUVs","10.03","Lethrinidae","Gymnocranius","grandoculis","37351005",3
"2019-08_Ningaloo_stereo-BRUVs","10.03","Lethrinidae","Lethrinus","miniatus","37351009",4
"2019-08_Ningaloo_stereo-BRUVs","10.03","Lethrinidae","Lethrinus","ravus","37351031",2
"2019-08_Ningaloo_stereo-BRUVs","10.03","Lethrinidae","Lethrinus","rubrioperculatus","37351012",1
"2019-08_Ningaloo_stereo-BRUVs","10.03","Lutjanidae","Lutjanus","quinquelineatus","37346006",42
"2019-08_Ningaloo_stereo-BRUVs","10.03","Lutjanidae","Lutjanus","vitta","37346003",3
"2019-08_Ningaloo_stereo-BRUVs","10.03","Lutjanidae","Pristipomoides","multidens","37346002",1
"2019-08_Ningaloo_stereo-BRUVs","10.03","Lutjanidae","Pristipomoides","typus","37346019",1
"2019-08_Ningaloo_stereo-BRUVs","10.03","Monacanthidae","Aluterus","monoceros","37465022",2
"2019-08_Ningaloo_stereo-BRUVs","10.03","Mullidae","Parupeneus","spilurus","37355015",6
"2019-08_Ningaloo_stereo-BRUVs","10.03","Nemipteridae","Scolopsis","affinis","37347030",3
"2019-08_Ningaloo_stereo-BRUVs","10.03","Pomacanthidae","Chaetodontoplus","personifer","37365008",1
"2019-08_Ningaloo_stereo-BRUVs","10.03","Pomacanthidae","Pomacanthus","semicirculatus","37365080",1
"2019-08_Ningaloo_stereo-BRUVs","10.03","Scaridae","Scarus","ghobban","37386001",1
"2019-08_Ningaloo_stereo-BRUVs","10.03","Serranidae","Cephalopholis","sonnerati","37311045",1
"2019-08_Ningaloo_stereo-BRUVs","10.03","Serranidae","Epinephelus","multinotatus","37311010",1
"2019-08_Ningaloo_stereo-BRUVs","10.03","Serranidae","Pseudanthias","cooperi","37311113",2
"2019-08_Ningaloo_stereo-BRUVs","10.03","Serranidae","Variola","louti","37311166",2
"2019-08_Ningaloo_stereo-BRUVs","10.04","Carangidae","Carangoides","chrysophrys","37337011",1
"2019-08_Ningaloo_stereo-BRUVs","10.04","Carangidae","Seriola","rivoliana","37337052",2
"2019-08_Ningaloo_stereo-BRUVs","10.04","Echeneidae","Echeneis","naucrates","37336001",1
"2019-08_Ningaloo_stereo-BRUVs","10.04","Lethrinidae","Gymnocranius","grandoculis","37351005",2
"2019-08_Ningaloo_stereo-BRUVs","10.04","Lethrinidae","Gymnocranius","griseus","37351003",1
"2019-08_Ningaloo_stereo-BRUVs","10.04","Lethrinidae","Lethrinus","miniatus","37351009",15
"2019-08_Ningaloo_stereo-BRUVs","10.04","Lutjanidae","Pristipomoides","multidens","37346002",5
"2019-08_Ningaloo_stereo-BRUVs","10.04","Pinguipedidae","Parapercis","nebulosa","37390005",1
"2019-08_Ningaloo_stereo-BRUVs","10.04","Serranidae","Pseudanthias","georgei","37311093",2
"2019-08_Ningaloo_stereo-BRUVs","10.04","Triakidae","Hemitriakis","falcata","37017009",1
"2019-08_Ningaloo_stereo-BRUVs","10.09","Ariidae","Netuma","thalassina","37188001",1
"2019-08_Ningaloo_stereo-BRUVs","10.09","Carangidae","Carangoides","caeruleopinnatus","37337021",2
"2019-08_Ningaloo_stereo-BRUVs","10.09","Carangidae","Carangoides","equula","37337013",1
"2019-08_Ningaloo_stereo-BRUVs","10.09","Carangidae","Decapterus","spp",NA,1
"2019-08_Ningaloo_stereo-BRUVs","10.09","Carcharhinidae","Carcharhinus","plumbeus","37018007",1
"2019-08_Ningaloo_stereo-BRUVs","10.09","Carcharhinidae","Rhizoprionodon","acutus","37018006",1
"2019-08_Ningaloo_stereo-BRUVs","10.09","Lethrinidae","Gymnocranius","grandoculis","37351005",1
"2019-08_Ningaloo_stereo-BRUVs","10.09","Lutjanidae","Aphareus","furca","37346036",1
"2019-08_Ningaloo_stereo-BRUVs","10.09","Lutjanidae","Pristipomoides","multidens","37346002",1
"2019-08_Ningaloo_stereo-BRUVs","10.09","Sparidae","Dentex","carpenteri",NA,28
"2019-08_Ningaloo_stereo-BRUVs","10.09","Triakidae","Mustelus","ravidus","37017005",1
"2019-08_Ningaloo_stereo-BRUVs","10.11","Ariidae","Netuma","thalassina","37188001",1
"2019-08_Ningaloo_stereo-BRUVs","10.11","Carangidae","Carangoides","chrysophrys","37337011",1
"2019-08_Ningaloo_stereo-BRUVs","10.11","Carangidae","Carangoides","equula","37337013",10
"2019-08_Ningaloo_stereo-BRUVs","10.11","Carcharhinidae","Carcharhinus","sp10",NA,1
"2019-08_Ningaloo_stereo-BRUVs","10.11","Carcharhinidae","Galeocerdo","cuvier","37018022",1
"2019-08_Ningaloo_stereo-BRUVs","10.11","Lethrinidae","Gymnocranius","grandoculis","37351005",2
"2019-08_Ningaloo_stereo-BRUVs","10.11","Lutjanidae","Pristipomoides","multidens","37346002",3
"2019-08_Ningaloo_stereo-BRUVs","10.11","Sparidae","Dentex","carpenteri",NA,4
"2019-08_Ningaloo_stereo-BRUVs","10.11","Triakidae","Hemitriakis","falcata","37017009",1
"2019-08_Ningaloo_stereo-BRUVs","10.12","Carangidae","Carangoides","gymnostethus","37337022",1
"2019-08_Ningaloo_stereo-BRUVs","10.12","Carcharhinidae","Loxodon","macrorhinus","37018005",1
"2019-08_Ningaloo_stereo-BRUVs","10.12","Lutjanidae","Pristipomoides","multidens","37346002",5
"2019-08_Ningaloo_stereo-BRUVs","10.12","Microdesmidae","Ptereleotris","sp1",NA,1
"2019-08_Ningaloo_stereo-BRUVs","10.12","Muraenidae","Gymnothorax","sp5",NA,1
"2019-08_Ningaloo_stereo-BRUVs","10.12","Sparidae","Dentex","carpenteri","37353018",1
"2019-08_Ningaloo_stereo-BRUVs","10.12","Sparidae","Dentex","carpenteri",NA,1
"2019-08_Ningaloo_stereo-BRUVs","10.12","Synodontidae","Saurida","undosquamis","37118001",1
"2019-08_Ningaloo_stereo-BRUVs","10.12","Triakidae","Hemitriakis","falcata","37017009",1
"2019-08_Ningaloo_stereo-BRUVs","10.13","Apogonidae","Ostorhinchus","fasciatus","37327158",2
"2019-08_Ningaloo_stereo-BRUVs","10.13","Balistidae","Pseudobalistes","flavimarginatus","37465071",1
"2019-08_Ningaloo_stereo-BRUVs","10.13","Carangidae","Carangoides","fulvoguttatus","37337037",1
"2019-08_Ningaloo_stereo-BRUVs","10.13","Carangidae","Seriola","dumerili","37337025",1
"2019-08_Ningaloo_stereo-BRUVs","10.13","Cirrhitidae","Cyprinocirrhites","polyactis","37374006",1
"2019-08_Ningaloo_stereo-BRUVs","10.13","Labridae","Suezichthys","cyanolaemus","37384161",2
"2019-08_Ningaloo_stereo-BRUVs","10.13","Labridae","Unknown","sp7",NA,1
"2019-08_Ningaloo_stereo-BRUVs","10.13","Lethrinidae","Gymnocranius","grandoculis","37351005",1
"2019-08_Ningaloo_stereo-BRUVs","10.13","Lethrinidae","Lethrinus","miniatus","37351009",4
"2019-08_Ningaloo_stereo-BRUVs","10.13","Lethrinidae","Lethrinus","olivaceus","37351004",1
"2019-08_Ningaloo_stereo-BRUVs","10.13","Lethrinidae","Lethrinus","ravus","37351031",1
"2019-08_Ningaloo_stereo-BRUVs","10.13","Lethrinidae","Lethrinus","rubrioperculatus","37351012",1
"2019-08_Ningaloo_stereo-BRUVs","10.13","Lutjanidae","Aphareus","furca","37346036",2
"2019-08_Ningaloo_stereo-BRUVs","10.13","Lutjanidae","Pristipomoides","filamentosus","37346032",3
"2019-08_Ningaloo_stereo-BRUVs","10.13","Lutjanidae","Symphorus","nematophorus","37346017",1
"2019-08_Ningaloo_stereo-BRUVs","10.13","Nemipteridae","Pentapodus","nagasakiensis","37347012",3
"2019-08_Ningaloo_stereo-BRUVs","10.13","Pinguipedidae","Parapercis","nebulosa","37390005",1
"2019-08_Ningaloo_stereo-BRUVs","10.13","Pomacanthidae","Chaetodontoplus","personifer","37365008",1
"2019-08_Ningaloo_stereo-BRUVs","10.13","Pomacanthidae","Pomacanthus","semicirculatus","37365080",2
"2019-08_Ningaloo_stereo-BRUVs","10.13","Scaridae","Scarus","ghobban","37386001",1
"2019-08_Ningaloo_stereo-BRUVs","10.13","Serranidae","Cephalopholis","spiloparaea","37311141",1
"2019-08_Ningaloo_stereo-BRUVs","10.13","Serranidae","Epinephelus","rivulatus","37311022",2
"2019-08_Ningaloo_stereo-BRUVs","10.13","Serranidae","Pseudanthias","cooperi","37311113",7
"2019-08_Ningaloo_stereo-BRUVs","10.14","Balistidae","Abalistes","filamentosus","37465089",1
"2019-08_Ningaloo_stereo-BRUVs","10.14","Balistidae","Sufflamen","fraenatum","37465014",1
"2019-08_Ningaloo_stereo-BRUVs","10.14","Carangidae","Carangoides","chrysophrys","37337011",1
"2019-08_Ningaloo_stereo-BRUVs","10.14","Carcharhinidae","Carcharhinus","plumbeus","37018007",1
"2019-08_Ningaloo_stereo-BRUVs","10.14","Echeneidae","Echeneis","naucrates","37336001",1
"2019-08_Ningaloo_stereo-BRUVs","10.14","Haemulidae","Diagramma","pictum labiosum","37350003",1
"2019-08_Ningaloo_stereo-BRUVs","10.14","Lethrinidae","Gymnocranius","grandoculis","37351005",5
"2019-08_Ningaloo_stereo-BRUVs","10.14","Lethrinidae","Lethrinus","nebulosus","37351008",2
"2019-08_Ningaloo_stereo-BRUVs","10.14","Lethrinidae","Lethrinus","rubrioperculatus","37351012",1
"2019-08_Ningaloo_stereo-BRUVs","10.14","Lutjanidae","Lutjanus","sebae","37346004",2
"2019-08_Ningaloo_stereo-BRUVs","10.14","Lutjanidae","Pristipomoides","multidens","37346002",1
"2019-08_Ningaloo_stereo-BRUVs","10.14","Serranidae","Epinephelus","areolatus","37311009",2
"2019-08_Ningaloo_stereo-BRUVs","10.14","Serranidae","Epinephelus","rivulatus","37311022",2
"2019-08_Ningaloo_stereo-BRUVs","10.14","Sparidae","Argyrops","spinifer","37353006",1
"2019-08_Ningaloo_stereo-BRUVs","10.15","Carangidae","Carangoides","caeruleopinnatus","37337021",1
"2019-08_Ningaloo_stereo-BRUVs","10.15","Carangidae","Carangoides","fulvoguttatus","37337037",1
"2019-08_Ningaloo_stereo-BRUVs","10.15","Carangidae","Caranx","ignobilis","37337027",1
"2019-08_Ningaloo_stereo-BRUVs","10.15","Carangidae","Decapterus","spp",NA,1
"2019-08_Ningaloo_stereo-BRUVs","10.15","Carangidae","Seriola","dumerili","37337025",2
"2019-08_Ningaloo_stereo-BRUVs","10.15","Cirrhitidae","Cyprinocirrhites","polyactis","37374006",1
"2019-08_Ningaloo_stereo-BRUVs","10.15","Labridae","Bodianus","solatus","37384201",1
"2019-08_Ningaloo_stereo-BRUVs","10.15","Labridae","Suezichthys","cyanolaemus","37384161",1
"2019-08_Ningaloo_stereo-BRUVs","10.15","Lethrinidae","Gymnocranius","grandoculis","37351005",1
"2019-08_Ningaloo_stereo-BRUVs","10.15","Lethrinidae","Lethrinus","miniatus","37351009",1
"2019-08_Ningaloo_stereo-BRUVs","10.15","Lethrinidae","Lethrinus","rubrioperculatus","37351012",1
"2019-08_Ningaloo_stereo-BRUVs","10.15","Lutjanidae","Lutjanus","sebae","37346004",1
"2019-08_Ningaloo_stereo-BRUVs","10.15","Lutjanidae","Pristipomoides","multidens","37346002",2
"2019-08_Ningaloo_stereo-BRUVs","10.15","Pinguipedidae","Parapercis","nebulosa","37390005",2
"2019-08_Ningaloo_stereo-BRUVs","10.15","Pomacanthidae","Chaetodontoplus","personifer","37365008",2
"2019-08_Ningaloo_stereo-BRUVs","10.15","Sparidae","Argyrops","spinifer","37353006",1
"2019-08_Ningaloo_stereo-BRUVs","11.01","Carangidae","Carangoides","chrysophrys","37337011",1
"2019-08_Ningaloo_stereo-BRUVs","11.01","Carangidae","Decapterus","spp",NA,2
"2019-08_Ningaloo_stereo-BRUVs","11.01","Chaetodontidae","Heniochus","acuminatus","37365011",1
"2019-08_Ningaloo_stereo-BRUVs","11.01","Lethrinidae","Gymnocranius","grandoculis","37351005",1
"2019-08_Ningaloo_stereo-BRUVs","11.01","Lethrinidae","Lethrinus","nebulosus","37351008",1
"2019-08_Ningaloo_stereo-BRUVs","11.01","Lethrinidae","Lethrinus","ravus","37351031",1
"2019-08_Ningaloo_stereo-BRUVs","11.01","Lethrinidae","Lethrinus","rubrioperculatus","37351012",1
"2019-08_Ningaloo_stereo-BRUVs","11.01","Lutjanidae","Pristipomoides","multidens","37346002",1
"2019-08_Ningaloo_stereo-BRUVs","11.01","Mullidae","Parupeneus","chrysopleuron","37355016",1
"2019-08_Ningaloo_stereo-BRUVs","11.01","Nemipteridae","Pentapodus","nagasakiensis","37347012",3
"2019-08_Ningaloo_stereo-BRUVs","11.01","Pinguipedidae","Parapercis","nebulosa","37390005",3
"2019-08_Ningaloo_stereo-BRUVs","11.01","Pomacanthidae","Chaetodontoplus","personifer","37365008",4
"2019-08_Ningaloo_stereo-BRUVs","11.02","Balistidae","Sufflamen","fraenatum","37465014",1
"2019-08_Ningaloo_stereo-BRUVs","11.02","Carangidae","Carangoides","chrysophrys","37337011",1
"2019-08_Ningaloo_stereo-BRUVs","11.02","Lethrinidae","Gymnocranius","grandoculis","37351005",2
"2019-08_Ningaloo_stereo-BRUVs","11.02","Lethrinidae","Lethrinus","nebulosus","37351008",2
"2019-08_Ningaloo_stereo-BRUVs","11.02","Lethrinidae","Lethrinus","rubrioperculatus","37351012",2
"2019-08_Ningaloo_stereo-BRUVs","11.02","Nemipteridae","Pentapodus","nagasakiensis","37347012",7
"2019-08_Ningaloo_stereo-BRUVs","11.02","Pinguipedidae","Parapercis","nebulosa","37390005",2
"2019-08_Ningaloo_stereo-BRUVs","11.02","Pomacanthidae","Pomacanthus","semicirculatus","37365080",2
"2019-08_Ningaloo_stereo-BRUVs","11.04","Balistidae","Abalistes","filamentosus","37465089",1
"2019-08_Ningaloo_stereo-BRUVs","11.04","Carangidae","Carangoides","chrysophrys","37337011",5
"2019-08_Ningaloo_stereo-BRUVs","11.04","Carangidae","Decapterus","spp",NA,8
"2019-08_Ningaloo_stereo-BRUVs","11.04","Carangidae","Seriolina","nigrofasciata","37337014",1
"2019-08_Ningaloo_stereo-BRUVs","11.04","Lethrinidae","Gymnocranius","grandoculis","37351005",1
"2019-08_Ningaloo_stereo-BRUVs","11.04","Lutjanidae","Pristipomoides","multidens","37346002",3
"2019-08_Ningaloo_stereo-BRUVs","11.04","Microdesmidae","Ptereleotris","sp1",NA,1
"2019-08_Ningaloo_stereo-BRUVs","11.04","Sparidae","Argyrops","spinifer","37353006",4
"2019-08_Ningaloo_stereo-BRUVs","11.06","Balistidae","Abalistes","filamentosus","37465089",1
"2019-08_Ningaloo_stereo-BRUVs","11.06","Carangidae","Carangoides","gymnostethus","37337022",2
"2019-08_Ningaloo_stereo-BRUVs","11.06","Labridae","Unknown","sp8",NA,2
"2019-08_Ningaloo_stereo-BRUVs","11.06","Malacanthidae","Malacanthus","brevirostris","37331009",1
"2019-08_Ningaloo_stereo-BRUVs","11.06","Nemipteridae","Nemipterus","spp",NA,1
"2019-08_Ningaloo_stereo-BRUVs","11.06","Nemipteridae","Pentapodus","nagasakiensis","37347012",1
"2019-08_Ningaloo_stereo-BRUVs","11.06","Pinguipedidae","Parapercis","nebulosa","37390005",2
"2019-08_Ningaloo_stereo-BRUVs","12.02","Acanthuridae","Acanthurus","grammoptilus","37437002",1
"2019-08_Ningaloo_stereo-BRUVs","12.02","Balistidae","Sufflamen","fraenatum","37465014",2
"2019-08_Ningaloo_stereo-BRUVs","12.02","Carangidae","Carangoides","caeruleopinnatus","37337021",1
"2019-08_Ningaloo_stereo-BRUVs","12.02","Carangidae","Carangoides","chrysophrys","37337011",1
"2019-08_Ningaloo_stereo-BRUVs","12.02","Carangidae","Caranx","ignobilis","37337027",2
"2019-08_Ningaloo_stereo-BRUVs","12.02","Carangidae","Gnathanodon","speciosus","37337012",2
"2019-08_Ningaloo_stereo-BRUVs","12.02","Carcharhinidae","Carcharhinus","sp10",NA,1
"2019-08_Ningaloo_stereo-BRUVs","12.02","Carcharhinidae","Triaenodon","obesus","37018038",1
"2019-08_Ningaloo_stereo-BRUVs","12.02","Haemulidae","Diagramma","pictum labiosum","37350003",1
"2019-08_Ningaloo_stereo-BRUVs","12.02","Labridae","Choerodon","jordani","37384077",4
"2019-08_Ningaloo_stereo-BRUVs","12.02","Lethrinidae","Lethrinus","nebulosus","37351008",1
"2019-08_Ningaloo_stereo-BRUVs","12.02","Lutjanidae","Pristipomoides","multidens","37346002",1
"2019-08_Ningaloo_stereo-BRUVs","12.02","Pinguipedidae","Parapercis","nebulosa","37390005",2
"2019-08_Ningaloo_stereo-BRUVs","12.02","Pomacanthidae","Pomacanthus","semicirculatus","37365080",1
"2019-08_Ningaloo_stereo-BRUVs","12.02","Scaridae","Scarus","ghobban","37386001",1
"2019-08_Ningaloo_stereo-BRUVs","12.02","Triakidae","Hemitriakis","falcata","37017009",1
