"campaignid","sample","family","genus","species","code","count"
"2019-08_Ningaloo_stereo-BRUVs","1.01","Balistidae","Abalistes","stellatus","37465011",1
"2019-08_Ningaloo_stereo-BRUVs","1.01","Carangidae","Carangoides","chrysophrys","37337011",1
"2019-08_Ningaloo_stereo-BRUVs","1.01","Carangidae","Decapterus","spp",NA,2
"2019-08_Ningaloo_stereo-BRUVs","1.01","Carangidae","Gnathanodon","speciosus","37337012",2
"2019-08_Ningaloo_stereo-BRUVs","1.01","Carcharhinidae","Unknown","sp10",NA,1
"2019-08_Ningaloo_stereo-BRUVs","1.01","Labridae","Coris","caudimacula","37384092",1
"2019-08_Ningaloo_stereo-BRUVs","1.01","Nemipteridae","Pentapodus","nagasakiensis","37347012",9
"2019-08_Ningaloo_stereo-BRUVs","1.01","Pinguipedidae","Parapercis","nebulosa","37390005",2
"2019-08_Ningaloo_stereo-BRUVs","1.01","Sparidae","Argyrops","spinifer","37353006",1
"2019-08_Ningaloo_stereo-BRUVs","1.01","Synodontidae","Saurida","undosquamis","37118001",2
"2019-08_Ningaloo_stereo-BRUVs","1.01","Tetraodontidae","Lagocephalus","sceleratus","37467007",2
"2019-08_Ningaloo_stereo-BRUVs","1.02","Carangidae","Carangoides","chrysophrys","37337011",2
"2019-08_Ningaloo_stereo-BRUVs","1.02","Lethrinidae","Gymnocranius","grandoculis","37351005",2
"2019-08_Ningaloo_stereo-BRUVs","1.02","Lutjanidae","Pristipomoides","multidens","37346002",3
"2019-08_Ningaloo_stereo-BRUVs","1.02","Microdesmidae","Gunnellichthys","monostigma","37435004",1
"2019-08_Ningaloo_stereo-BRUVs","1.02","Sparidae","Argyrops","spinifer","37353006",6
"2019-08_Ningaloo_stereo-BRUVs","1.02","Synodontidae","Saurida","undosquamis","37118001",2
"2019-08_Ningaloo_stereo-BRUVs","1.03","Balistidae","Abalistes","filamentosus","37465089",1
"2019-08_Ningaloo_stereo-BRUVs","1.03","Carangidae","Carangoides","chrysophrys","37337011",1
"2019-08_Ningaloo_stereo-BRUVs","1.03","Carangidae","Decapterus","spp",NA,2
"2019-08_Ningaloo_stereo-BRUVs","1.03","Carangidae","Seriola","dumerili","37337025",1
"2019-08_Ningaloo_stereo-BRUVs","1.03","Carangidae","Seriola","rivoliana","37337052",2
"2019-08_Ningaloo_stereo-BRUVs","1.03","Echeneidae","Echeneis","naucrates","37336001",1
"2019-08_Ningaloo_stereo-BRUVs","1.03","Lethrinidae","Gymnocranius","grandoculis","37351005",1
"2019-08_Ningaloo_stereo-BRUVs","1.03","Lethrinidae","Lethrinus","miniatus","37351009",3
"2019-08_Ningaloo_stereo-BRUVs","1.03","Lethrinidae","Lethrinus","rubrioperculatus","37351012",2
"2019-08_Ningaloo_stereo-BRUVs","1.03","Lutjanidae","Pristipomoides","filamentosus","37346032",1
"2019-08_Ningaloo_stereo-BRUVs","1.03","Lutjanidae","Pristipomoides","multidens","37346002",4
"2019-08_Ningaloo_stereo-BRUVs","1.03","Mullidae","Parupeneus","spilurus","37355015",1
"2019-08_Ningaloo_stereo-BRUVs","1.03","Pinguipedidae","Parapercis","nebulosa","37390005",1
"2019-08_Ningaloo_stereo-BRUVs","1.03","Synodontidae","Saurida","undosquamis","37118001",1
"2019-08_Ningaloo_stereo-BRUVs","1.04","Balistidae","Abalistes","filamentosus","37465089",1
"2019-08_Ningaloo_stereo-BRUVs","1.04","Carangidae","Carangoides","chrysophrys","37337011",1
"2019-08_Ningaloo_stereo-BRUVs","1.04","Carangidae","Decapterus","spp",NA,2
"2019-08_Ningaloo_stereo-BRUVs","1.04","Labridae","Bodianus","solatus","37384201",2
"2019-08_Ningaloo_stereo-BRUVs","1.04","Lethrinidae","Gymnocranius","grandoculis","37351005",2
"2019-08_Ningaloo_stereo-BRUVs","1.04","Lethrinidae","Lethrinus","miniatus","37351009",2
"2019-08_Ningaloo_stereo-BRUVs","1.04","Lethrinidae","Lethrinus","rubrioperculatus","37351012",3
"2019-08_Ningaloo_stereo-BRUVs","1.04","Lutjanidae","Pristipomoides","multidens","37346002",8
"2019-08_Ningaloo_stereo-BRUVs","1.04","Mullidae","Parupeneus","spilurus","37355015",1
"2019-08_Ningaloo_stereo-BRUVs","1.04","Rachycentridae","Rachycentron","canadum","37335001",1
"2019-08_Ningaloo_stereo-BRUVs","1.04","Serranidae","Epinephelus","areolatus","37311009",2
"2019-08_Ningaloo_stereo-BRUVs","1.04","Triakidae","Mustelus","ravidus","37017005",1
"2019-08_Ningaloo_stereo-BRUVs","1.05","Carangidae","Carangoides","chrysophrys","37337011",1
"2019-08_Ningaloo_stereo-BRUVs","1.05","Carangidae","Decapterus","spp",NA,4
"2019-08_Ningaloo_stereo-BRUVs","1.05","Labridae","Bodianus","solatus","37384201",1
