"campaignid","sample","family","genus","species","length","number","range","mass.kg","code"
"2022-05_PtCloates_stereo-BRUVS","11","Lethrinidae","Gymnocranius","sp1",443.15757,1,1224.81637,1.66506106786931,NA
"2022-05_PtCloates_stereo-BRUVS","11","Lethrinidae","Gymnocranius","sp1",444.56196,1,1970.78514,1.68068444728854,NA
"2022-05_PtCloates_stereo-BRUVS","11","Lethrinidae","Lethrinus","miniatus",512.34147,1,1343.11051,2.62600840389402,"37351009"
"2022-05_PtCloates_stereo-BRUVS","11","Lethrinidae","Lethrinus","miniatus",485.602,1,755.4931,2.20301491668736,"37351009"
"2022-05_PtCloates_stereo-BRUVS","11","Lethrinidae","Lethrinus","miniatus",455.01629,1,1321.38164,1.78007721297328,"37351009"
"2022-05_PtCloates_stereo-BRUVS","11","Lethrinidae","Lethrinus","nebulosus",501.69436,1,1416.62046,2.32735030720717,"37351008"
"2022-05_PtCloates_stereo-BRUVS","11","Lethrinidae","Lethrinus","rubrioperculatus",368.31117,1,1341.28498,0.917501164435124,"37351012"
"2022-05_PtCloates_stereo-BRUVS","11","Lethrinidae","Lethrinus","rubrioperculatus",370.52411,1,1659.30994,0.933803026037155,"37351012"
"2022-05_PtCloates_stereo-BRUVS","11","Lethrinidae","Lethrinus","rubrioperculatus",355.98682,1,2515.66774,0.830138524786855,"37351012"
"2022-05_PtCloates_stereo-BRUVS","11","Sparidae","Argyrops","spinifer",364.48806,1,3126.19272,1.92901786843187,"37353006"
"2022-05_PtCloates_stereo-BRUVS","12","Balistidae","Abalistes","stellatus",413.35596,1,1259.42367,1.41909932856335,"37465011"
"2022-05_PtCloates_stereo-BRUVS","12","Carangidae","Carangoides","fulvoguttatus",491.68963,1,3350.48401,1.84987412328886,"37337037"
"2022-05_PtCloates_stereo-BRUVS","12","Carangidae","Seriola","dumerili",872.04164,1,2480.6581,12.5494879851393,"37337025"
"2022-05_PtCloates_stereo-BRUVS","12","Labridae","Choerodon","sp1",66.41434,1,1788.737,0.00443310092369138,NA
"2022-05_PtCloates_stereo-BRUVS","12","Labridae","Choerodon","sp1",68.97111,1,1713.70387,0.00495137798596003,NA
"2022-05_PtCloates_stereo-BRUVS","12","Labridae","Choerodon","sp1",60.92503,1,1840.09616,0.00344385087144606,NA
"2022-05_PtCloates_stereo-BRUVS","12","Labridae","Choerodon","sp1",63.00119,1,2352.01676,0.00379875218482546,NA
"2022-05_PtCloates_stereo-BRUVS","12","Labridae","Suezichthys","cyanolaemus",90.9945,1,1131.69579,0.0045879119244712,"37384161"
"2022-05_PtCloates_stereo-BRUVS","12","Lethrinidae","Gymnocranius","euanus",404.3352,1,1325.1487,1.48832321759286,"37351022"
"2022-05_PtCloates_stereo-BRUVS","12","Lethrinidae","Gymnocranius","sp1",258.06049,1,1793.22558,0.337490610252241,NA
"2022-05_PtCloates_stereo-BRUVS","12","Lethrinidae","Lethrinus","rubrioperculatus",348.42587,1,1558.56225,0.779362315964742,"37351012"
"2022-05_PtCloates_stereo-BRUVS","12","Lethrinidae","Lethrinus","rubrioperculatus",321.69885,1,1417.09847,0.61636277487859,"37351012"
"2022-05_PtCloates_stereo-BRUVS","12","Lethrinidae","Lethrinus","rubrioperculatus",311.52993,1,1874.24068,0.56082090368652,"37351012"
"2022-05_PtCloates_stereo-BRUVS","12","Lutjanidae","Lutjanus","sebae",643.23347,1,2219.0302,5.78894658384297,"37346004"
"2022-05_PtCloates_stereo-BRUVS","12","Lutjanidae","Pristipomoides","sp1",397.14078,1,1650.19036,1.12644475357848,NA
"2022-05_PtCloates_stereo-BRUVS","12","Lutjanidae","Pristipomoides","sp1",374.47934,1,1401.62056,0.94617639027981,NA
"2022-05_PtCloates_stereo-BRUVS","12","Lutjanidae","Pristipomoides","sp1",421.12819,1,1715.59437,1.34062958167331,NA
"2022-05_PtCloates_stereo-BRUVS","12","Lutjanidae","Pristipomoides","sp1",285.54086,1,1340.95662,0.423098075420316,NA
"2022-05_PtCloates_stereo-BRUVS","12","Nemipteridae","Pentapodus","nagasakiensis",88.736,1,2686.61863,0.0099079184517969,"37347012"
"2022-05_PtCloates_stereo-BRUVS","12","Nemipteridae","Pentapodus","nagasakiensis",92.2479,1,1432.91012,0.0111185113958695,"37347012"
"2022-05_PtCloates_stereo-BRUVS","12","Nemipteridae","Pentapodus","nagasakiensis",88.68242,1,1594.55399,0.00989016088698986,"37347012"
"2022-05_PtCloates_stereo-BRUVS","12","Nemipteridae","Pentapodus","nagasakiensis",81.43988,1,1561.63491,0.00767913206517577,"37347012"
"2022-05_PtCloates_stereo-BRUVS","12","Nemipteridae","Pentapodus","nagasakiensis",105.55561,1,1217.30552,0.0165907261615887,"37347012"
"2022-05_PtCloates_stereo-BRUVS","12","Nemipteridae","Pentapodus","nagasakiensis",98.67774,1,1255.00571,0.0135817859729418,"37347012"
"2022-05_PtCloates_stereo-BRUVS","12","Nemipteridae","Pentapodus","nagasakiensis",99.40887,1,1348.26044,0.0138828468395719,"37347012"
"2022-05_PtCloates_stereo-BRUVS","12","Nemipteridae","Pentapodus","nagasakiensis",106.75419,1,1693.26562,0.0171565166589059,"37347012"
"2022-05_PtCloates_stereo-BRUVS","12","Pinguipedidae","Parapercis","nebulosa",62.44241,1,1502.07369,0.00197694687454738,"37390005"
"2022-05_PtCloates_stereo-BRUVS","12","Sparidae","Argyrops","spinifer",333.04842,1,2033.59164,1.54526384149196,"37353006"
"2022-05_PtCloates_stereo-BRUVS","12","Sparidae","Argyrops","spinifer",346.84325,1,2096.47411,1.70743686940727,"37353006"
"2022-05_PtCloates_stereo-BRUVS","14","Carangidae","Carangoides","chrysophrys",421.82888,1,4941.83236,1.37673296096105,"37337011"
"2022-05_PtCloates_stereo-BRUVS","14","Lethrinidae","Gymnocranius","sp1",355.96249,1,1349.10242,0.872095086425853,NA
"2022-05_PtCloates_stereo-BRUVS","14","Lethrinidae","Gymnocranius","sp1",372.29605,1,3564.83699,0.99557830247454,NA
"2022-05_PtCloates_stereo-BRUVS","14","Lethrinidae","Lethrinus","rubrioperculatus",365.97876,1,1175.5576,0.900523681494209,"37351012"
"2022-05_PtCloates_stereo-BRUVS","14","Lutjanidae","Pristipomoides","sp1",512.40176,1,4554.66961,2.39986213017673,NA
"2022-05_PtCloates_stereo-BRUVS","14","Sparidae","Argyrops","spinifer",280.21911,1,3535.24536,1.01054106487373,"37353006"
"2022-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","chrysophrys",450.76709,1,1710.05017,1.66729471100987,"37337011"
"2022-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","gymnostethus",310.63439,1,2059.55238,0.580849359174252,"37337022"
"2022-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","gymnostethus",345.94073,1,2373.1475,0.780667308649611,"37337022"
"2022-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","gymnostethus",317.11322,1,2270.43395,0.614730732808443,"37337022"
"2022-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","gymnostethus",337.35314,1,2488.62455,0.728589924771031,"37337022"
"2022-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","gymnostethus",363.05384,1,2775.51015,0.891368390231556,"37337022"
"2022-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","gymnostethus",338.65047,1,2640.93765,0.736311002207429,"37337022"
"2022-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","gymnostethus",337.35723,1,2603.55734,0.728614185173831,"37337022"
"2022-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","gymnostethus",319.8924,1,2922.30611,0.629640714741604,"37337022"
"2022-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","gymnostethus",311.29034,1,2984.99297,0.584224228099208,"37337022"
"2022-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","gymnostethus",330.25832,1,2283.29124,0.687275259245406,"37337022"
"2022-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","gymnostethus",312.48573,1,2396.51425,0.590406534101652,"37337022"
"2022-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","gymnostethus",354.30768,1,2288.82908,0.833625588715723,"37337022"
"2022-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","gymnostethus",345.18193,1,3052.44545,0.775973437765173,"37337022"
"2022-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","gymnostethus",329.96435,1,3036.00541,0.685596400995693,"37337022"
"2022-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","gymnostethus",332.28821,1,2834.80747,0.698939309583653,"37337022"
