"campaignid","sample","family","genus","species","length","number","range","mass.kg","code"
"2019-08_Ningaloo_stereo-BRUVs","1.01","Balistidae","Abalistes","stellatus",303.99529,1,3649.3823,0.574973975825324,"37465011"
"2019-08_Ningaloo_stereo-BRUVs","1.01","Carangidae","Carangoides","chrysophrys",619.21661,1,4988.00934,4.16834883183204,"37337011"
"2019-08_Ningaloo_stereo-BRUVs","1.01","Carangidae","Decapterus","spp",329.9371,1,2650.3647,0.599091990515128,NA
"2019-08_Ningaloo_stereo-BRUVs","1.01","Carangidae","Gnathanodon","speciosus",405.07652,1,4895.56544,1.2995666512408,"37337012"
"2019-08_Ningaloo_stereo-BRUVs","1.01","Labridae","Coris","caudimacula",60.32225,1,1252.18427,0.00244490083320798,"37384092"
"2019-08_Ningaloo_stereo-BRUVs","1.01","Nemipteridae","Pentapodus","nagasakiensis",62.92525,1,2932.18663,0.00356973498594245,"37347012"
"2019-08_Ningaloo_stereo-BRUVs","1.01","Nemipteridae","Pentapodus","nagasakiensis",48.98342,1,3475.24017,0.00169656973080839,"37347012"
"2019-08_Ningaloo_stereo-BRUVs","1.01","Nemipteridae","Pentapodus","nagasakiensis",47.72524,1,2690.45092,0.00157039098927892,"37347012"
"2019-08_Ningaloo_stereo-BRUVs","1.01","Nemipteridae","Pentapodus","nagasakiensis",72.02381,1,2613.11607,0.00533126004511145,"37347012"
"2019-08_Ningaloo_stereo-BRUVs","1.01","Nemipteridae","Pentapodus","nagasakiensis",68.8576,1,2692.6673,0.00466490671188814,"37347012"
"2019-08_Ningaloo_stereo-BRUVs","1.01","Nemipteridae","Pentapodus","nagasakiensis",60.03917,1,2814.72281,0.00310510917257096,"37347012"
"2019-08_Ningaloo_stereo-BRUVs","1.01","Nemipteridae","Pentapodus","nagasakiensis",40.72928,1,2570.47128,0.000980728670638725,"37347012"
"2019-08_Ningaloo_stereo-BRUVs","1.01","Pinguipedidae","Parapercis","nebulosa",119.44867,1,3114.31732,0.0138388494463031,"37390005"
"2019-08_Ningaloo_stereo-BRUVs","1.01","Pinguipedidae","Parapercis","nebulosa",65.15812,1,3187.04998,0.00224626848868377,"37390005"
"2019-08_Ningaloo_stereo-BRUVs","1.01","Sparidae","Argyrops","spinifer",290.53383,1,1755.05893,1.10447962558084,"37353006"
"2019-08_Ningaloo_stereo-BRUVs","1.01","Synodontidae","Saurida","undosquamis",373.09115,1,1800.1955,0.475193720329031,"37118001"
"2019-08_Ningaloo_stereo-BRUVs","1.01","Synodontidae","Saurida","undosquamis",356.29484,1,3311.0896,0.411788163308402,"37118001"
"2019-08_Ningaloo_stereo-BRUVs","1.01","Tetraodontidae","Lagocephalus","sceleratus",590.07547,1,2350.82963,2.74727837646967,"37467007"
"2019-08_Ningaloo_stereo-BRUVs","1.01","Tetraodontidae","Lagocephalus","sceleratus",569.79005,1,3410.77964,2.48015809463491,"37467007"
"2019-08_Ningaloo_stereo-BRUVs","1.02","Carangidae","Carangoides","chrysophrys",408.34856,1,1926.36764,1.25355059672311,"37337011"
"2019-08_Ningaloo_stereo-BRUVs","1.02","Carangidae","Carangoides","chrysophrys",362.28865,1,1896.98773,0.887438500347561,"37337011"
"2019-08_Ningaloo_stereo-BRUVs","1.02","Lethrinidae","Gymnocranius","grandoculis",392.78384,1,2076.28049,1.27049234529874,"37351005"
"2019-08_Ningaloo_stereo-BRUVs","1.02","Lethrinidae","Gymnocranius","grandoculis",350.85673,1,2134.89692,0.917368411721406,"37351005"
"2019-08_Ningaloo_stereo-BRUVs","1.02","Lutjanidae","Pristipomoides","multidens",463.4905,1,1082.30044,2.05464348193602,"37346002"
"2019-08_Ningaloo_stereo-BRUVs","1.02","Lutjanidae","Pristipomoides","multidens",543.769,1,1711.45622,3.27991356614392,"37346002"
"2019-08_Ningaloo_stereo-BRUVs","1.02","Lutjanidae","Pristipomoides","multidens",493.37999,1,2644.96922,2.46720041409463,"37346002"
"2019-08_Ningaloo_stereo-BRUVs","1.02","Microdesmidae","Gunnellichthys","monostigma",61.5469,1,1747.55284,0.00121179513725374,"37435004"
"2019-08_Ningaloo_stereo-BRUVs","1.02","Sparidae","Argyrops","spinifer",201.79458,1,3893.19901,0.450743481339934,"37353006"
"2019-08_Ningaloo_stereo-BRUVs","1.02","Sparidae","Argyrops","spinifer",283.4247,1,1640.8325,1.03920515935538,"37353006"
"2019-08_Ningaloo_stereo-BRUVs","1.02","Sparidae","Argyrops","spinifer",280.95295,1,1355.79571,1.01706103118079,"37353006"
"2019-08_Ningaloo_stereo-BRUVs","1.02","Sparidae","Argyrops","spinifer",303.78851,1,1047.88938,1.2325369139724,"37353006"
"2019-08_Ningaloo_stereo-BRUVs","1.02","Sparidae","Argyrops","spinifer",281.54962,1,1755.08689,1.0223806275921,"37353006"
"2019-08_Ningaloo_stereo-BRUVs","1.02","Synodontidae","Saurida","undosquamis",407.51415,1,2873.11773,0.625218261752866,"37118001"
"2019-08_Ningaloo_stereo-BRUVs","1.03","Balistidae","Abalistes","filamentosus",315.71629,1,3285.09546,0.642617854542241,"37465089"
"2019-08_Ningaloo_stereo-BRUVs","1.03","Carangidae","Carangoides","chrysophrys",405.91273,1,2563.73996,1.23209163831093,"37337011"
"2019-08_Ningaloo_stereo-BRUVs","1.03","Carangidae","Decapterus","spp",468.83121,1,2594.6651,1.68828186983893,NA
"2019-08_Ningaloo_stereo-BRUVs","1.03","Carangidae","Seriola","dumerili",348.14867,1,2363.25835,0.957545491991932,"37337025"
"2019-08_Ningaloo_stereo-BRUVs","1.03","Carangidae","Seriola","rivoliana",323.03361,1,2529.45731,0.387054711990735,"37337052"
"2019-08_Ningaloo_stereo-BRUVs","1.03","Carangidae","Seriola","rivoliana",313.12212,1,2088.37183,0.35064665403814,"37337052"
"2019-08_Ningaloo_stereo-BRUVs","1.03","Echeneidae","Echeneis","naucrates",215.98898,1,2447.95299,0.0226883192112494,"37336001"
"2019-08_Ningaloo_stereo-BRUVs","1.03","Lethrinidae","Gymnocranius","grandoculis",370.06287,1,2145.52476,1.06983446270517,"37351005"
