"campaignid","sample","family","genus","species","code","count"
"2022-05_PtCloates_stereo-BRUVS","1","Balistidae","Abalistes","filamentosus","37465089",3
"2022-05_PtCloates_stereo-BRUVS","1","Carangidae","Carangoides","fulvoguttatus","37337037",18
"2022-05_PtCloates_stereo-BRUVS","1","Carangidae","Decapterus","spp",NA,4
"2022-05_PtCloates_stereo-BRUVS","1","Lethrinidae","Gymnocranius","sp1",NA,2
"2022-05_PtCloates_stereo-BRUVS","1","Lethrinidae","Lethrinus","rubrioperculatus","37351012",1
"2022-05_PtCloates_stereo-BRUVS","1","Lutjanidae","Pristipomoides","sp1",NA,9
"2022-05_PtCloates_stereo-BRUVS","1","Sparidae","Argyrops","spinifer","37353006",3
"2022-05_PtCloates_stereo-BRUVS","1","Sus","Sus","sus","2",2
"2022-05_PtCloates_stereo-BRUVS","11","Carangidae","Carangoides","gymnostethus","37337022",2
"2022-05_PtCloates_stereo-BRUVS","11","Carcharhinidae","Carcharhinus","albimarginatus","37018027",1
"2022-05_PtCloates_stereo-BRUVS","11","Lethrinidae","Gymnocranius","sp1",NA,6
"2022-05_PtCloates_stereo-BRUVS","11","Lethrinidae","Lethrinus","miniatus","37351009",3
"2022-05_PtCloates_stereo-BRUVS","11","Lethrinidae","Lethrinus","nebulosus","37351008",1
"2022-05_PtCloates_stereo-BRUVS","11","Lethrinidae","Lethrinus","rubrioperculatus","37351012",3
"2022-05_PtCloates_stereo-BRUVS","11","Sparidae","Argyrops","spinifer","37353006",1
"2022-05_PtCloates_stereo-BRUVS","11","Sus","Sus","sus","2",2
"2022-05_PtCloates_stereo-BRUVS","12","Balistidae","Abalistes","stellatus","37465011",1
"2022-05_PtCloates_stereo-BRUVS","12","Carangidae","Carangoides","fulvoguttatus","37337037",1
"2022-05_PtCloates_stereo-BRUVS","12","Carangidae","Seriola","dumerili","37337025",1
"2022-05_PtCloates_stereo-BRUVS","12","Labridae","Choerodon","sp1",NA,4
"2022-05_PtCloates_stereo-BRUVS","12","Labridae","Suezichthys","cyanolaemus","37384161",1
"2022-05_PtCloates_stereo-BRUVS","12","Lethrinidae","Gymnocranius","euanus","37351022",1
"2022-05_PtCloates_stereo-BRUVS","12","Lethrinidae","Gymnocranius","sp1",NA,1
"2022-05_PtCloates_stereo-BRUVS","12","Lethrinidae","Lethrinus","rubrioperculatus","37351012",3
"2022-05_PtCloates_stereo-BRUVS","12","Lutjanidae","Lutjanus","sebae","37346004",1
"2022-05_PtCloates_stereo-BRUVS","12","Lutjanidae","Pristipomoides","sp1",NA,4
"2022-05_PtCloates_stereo-BRUVS","12","Nemipteridae","Pentapodus","nagasakiensis","37347012",8
"2022-05_PtCloates_stereo-BRUVS","12","Pinguipedidae","Parapercis","nebulosa","37390005",1
"2022-05_PtCloates_stereo-BRUVS","12","Sparidae","Argyrops","spinifer","37353006",2
"2022-05_PtCloates_stereo-BRUVS","12","Sus","Sus","sus","2",2
"2022-05_PtCloates_stereo-BRUVS","13","Carangidae","Carangoides","chrysophrys","37337011",6
"2022-05_PtCloates_stereo-BRUVS","13","Carangidae","Decapterus","spp",NA,2
"2022-05_PtCloates_stereo-BRUVS","13","Cirrhitidae","Cirrhitichthys","aprinus","37374001",2
"2022-05_PtCloates_stereo-BRUVS","13","Haemulidae","Diagramma","pictum labiosum","37350003",1
"2022-05_PtCloates_stereo-BRUVS","13","Lethrinidae","Gymnocranius","euanus","37351022",1
"2022-05_PtCloates_stereo-BRUVS","13","Lethrinidae","Gymnocranius","sp1",NA,4
"2022-05_PtCloates_stereo-BRUVS","13","Lethrinidae","Lethrinus","rubrioperculatus","37351012",1
"2022-05_PtCloates_stereo-BRUVS","13","Lutjanidae","Lutjanus","sebae","37346004",1
"2022-05_PtCloates_stereo-BRUVS","13","Lutjanidae","Pristipomoides","sp1",NA,1
"2022-05_PtCloates_stereo-BRUVS","13","Sparidae","Argyrops","spinifer","37353006",1
"2022-05_PtCloates_stereo-BRUVS","14","Carangidae","Carangoides","chrysophrys","37337011",1
