"campaignid","sample","latitude","longitude","date.time","site","location","status","depth","successful.count","successful.length","observer.count","observer.length"
"2019-08_Ningaloo_stereo-BRUVs","1.01",-22.84786205,113.5404917,"2019-08-12T09:23:00+08:00","1","Ningaloo Marine Park","Fished","?","Yes","Yes","Brooke Gibbons","Charlotte Aston"
"2019-08_Ningaloo_stereo-BRUVs","1.02",-22.85016136,113.5252875,"2019-08-12T09:35:00+08:00","1","Ningaloo Marine Park","Fished","?","Yes","Yes","Brooke Gibbons","Charlotte Aston"
"2019-08_Ningaloo_stereo-BRUVs","1.03",-22.84437,113.51304,"2019-08-12T09:43:00+08:00","1","Ningaloo Marine Park","Fished","?","Yes","Yes","Charlotte Aston","Charlotte Aston"
"2019-08_Ningaloo_stereo-BRUVs","1.04",-22.8402743,113.5183981,"2019-08-12T09:51:00+08:00","1","Ningaloo Marine Park","Fished","?","Yes","Yes","Charlotte Aston","Charlotte Aston"
"2019-08_Ningaloo_stereo-BRUVs","1.05",-22.83417,113.51601,"2019-08-12T09:58:00+08:00","1","Ningaloo Marine Park","Fished","?","Yes","No","Charlotte Aston","Charlotte Aston"
"2019-08_Ningaloo_stereo-BRUVs","1.06",-22.83153691,113.523387,"2019-08-12T10:06:00+08:00","1","Ningaloo Marine Park","Fished","?","Yes","Yes","Charlotte Aston","Charlotte Aston"
"2019-08_Ningaloo_stereo-BRUVs","2.02",-22.83153691,113.5625852,"2019-08-12T11:47:00+08:00","2","Ningaloo Marine Park","Fished","?","Yes","No","Brooke Gibbons",NA
"2019-08_Ningaloo_stereo-BRUVs","2.03",-22.82900766,113.5659111,"2019-08-12T11:57:00+08:00","2","Ningaloo Marine Park","Fished","?","Yes","Yes","Charlotte Aston","Charlotte Aston"
"2019-08_Ningaloo_stereo-BRUVs","2.04",-22.82440903,113.5815904,"2019-08-12T12:05:00+08:00","2","Ningaloo Marine Park","Fished","?","Yes","Yes","Charlote Aston","Charlotte Aston"
"2019-08_Ningaloo_stereo-BRUVs","2.05",-22.82256957,113.5770767,"2019-08-12T12:12:00+08:00","2","Ningaloo Marine Park","Fished","?","Yes","Yes","Charlotte Aston","Charlotte Aston"
"2019-08_Ningaloo_stereo-BRUVs","2.06",-22.82164985,113.5716127,"2019-08-12T12:18:00+08:00","2","Ningaloo Marine Park","Fished","?","Yes","Yes","Charlotte Aston","Charlotte Aston"
"2019-08_Ningaloo_stereo-BRUVs","2.07",-22.8191206,113.5640106,"2019-08-12T12:24:00+08:00","2","Ningaloo Marine Park","Fished","?","Yes","Yes","Charlotte Aston","Charlotte Aston"
"2019-08_Ningaloo_stereo-BRUVs","3.01",-22.81314238,113.5207738,"2019-08-12T14:12:00+08:00","3","Ningaloo Marine Park","Fished","?","Yes","Yes","Brooke Gibbons","Charlotte Aston"
"2019-08_Ningaloo_stereo-BRUVs","3.02",-22.81015327,113.5262378,"2019-08-12T14:07:00+08:00","3","Ningaloo Marine Park","Fished","?","Yes","No","Charlotte Aston","Charlotte Aston"
"2019-08_Ningaloo_stereo-BRUVs","3.03",-22.80693423,113.5338398,"2019-08-12T14:00:00+08:00","3","Ningaloo Marine Park","Fished","?","Yes","Yes","Brooke Gibbons","Charlotte Aston"
"2019-08_Ningaloo_stereo-BRUVs","3.04",-22.80608,113.51938,"2019-08-12T14:17:00+08:00","3","Ningaloo Marine Park","Fished","?","Yes","No","Brooke Gibbons","Charlotte Aston"
