"campaignid","sample","family","genus","species","length","number","range","mass.kg","code"
"2020-06_south-west_stereo-BRUVs","01","Carangidae","Pseudocaranx","spp",92.66638,1,1540.66218,0.0141636757292585,NA
"2020-06_south-west_stereo-BRUVs","01","Labridae","Austrolabrus","maculatus",71.10585,1,1508.68562,0.0070329874712362,"37384025"
"2020-06_south-west_stereo-BRUVs","01","Labridae","Austrolabrus","maculatus",76.68168,1,1722.72752,0.00881395525250991,"37384025"
"2020-06_south-west_stereo-BRUVs","01","Labridae","Coris","auricularis",111.87656,1,1960.64275,0.0161860791094329,"37384088"
"2020-06_south-west_stereo-BRUVs","01","Labridae","Coris","auricularis",94.5158,1,2234.11411,0.00966147665425399,"37384088"
"2020-06_south-west_stereo-BRUVs","01","Labridae","Coris","auricularis",98.4566,1,1965.71735,0.010947858931781,"37384088"
"2020-06_south-west_stereo-BRUVs","01","Labridae","Coris","auricularis",109.44391,1,1297.42076,0.0151330440719818,"37384088"
"2020-06_south-west_stereo-BRUVs","01","Labridae","Coris","auricularis",103.5965,1,2574.43968,0.0127925155671262,"37384088"
"2020-06_south-west_stereo-BRUVs","01","Labridae","Ophthalmolepis","lineolatus",131.75273,1,2562.10307,0.0146673865882499,"37384040"
"2020-06_south-west_stereo-BRUVs","01","Labridae","Ophthalmolepis","lineolatus",94.41257,1,2099.1152,0.00515111394760027,"37384040"
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",125.86917,1,1468.18518,0.0387883951759957,"37384149"
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",127.34687,1,1326.54877,0.0401659314375385,"37384149"
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",134.66063,1,1765.21377,0.0474648835219385,"37384149"
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",108.29394,1,3204.7676,0.0247405484339293,"37384149"
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",90.74332,1,3083.21836,0.014581719753596,"37384149"
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",90.74226,1,3004.14321,0.0145812104624941,"37384149"
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",114.22485,1,1273.2597,0.0290166374400923,"37384149"
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",97.39879,1,1466.84291,0.0180184757340332,"37384149"
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",97.1948,1,1659.28367,0.0179058755223518,"37384149"
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",118.96428,1,1862.61913,0.0327671353962433,"37384149"
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",113.23912,1,1329.03564,0.0282743345481264,"37384149"
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",140.24283,1,3008.95576,0.0535939904008891,"37384149"
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",122.12191,1,1340.73046,0.0354369004389643,"37384149"
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",133.5537,1,1448.23706,0.0463077962439215,"37384149"
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",106.07687,1,1499.99179,0.0232567370583306,"37384149"
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",111.26964,1,1552.74324,0.0268292901355891,"37384149"
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",58.77576,1,1687.43157,0.00397965732396161,"37384149"
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",35.36687,1,1965.19586,0.000805121206999698,"37372044"
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",50.53415,1,1923.90715,0.00234869316199764,"37372044"
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",30.23473,1,1961.73642,0.000503025118391343,"37372044"
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",55.18909,1,2102.44167,0.0030593635452481,"37372044"
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",63.91272,1,1803.78539,0.00475152796868589,"37372044"
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",41.82854,1,1890.75723,0.00133195485794843,"37372044"
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",55.05033,1,1490.45957,0.00303634536369637,"37372044"
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",40.25179,1,1851.0069,0.00118693512660497,"37372044"
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",42.9374,1,2118.49057,0.00144071678796001,"37372044"
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",45.70037,1,1616.38314,0.00173712286461658,"37372044"
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",48.48096,1,1852.52191,0.00207388667340382,"37372044"
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",44.34786,1,1972.8181,0.00158741102232178,"37372044"
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",39.06246,1,1917.59338,0.00108480120239599,"37372044"
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",37.56162,1,1785.52999,0.000964504664290761,"37372044"
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",58.54145,1,1247.56133,0.00365142019761981,"37372044"
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",64.52059,1,2059.10404,0.00488839597947039,"37372044"
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",44.15404,1,2080.37984,0.00156668876206683,"37372044"
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",55.27181,1,1946.10553,0.00307314072780375,"37372044"
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",41.37574,1,1703.87003,0.00128916560635651,"37372044"
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",43.82203,1,2429.51321,0.00153161236376253,"37372044"
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",53.60178,1,1426.13449,0.0028029091657091,"37372044"
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",41.9469,1,1906.41254,0.00134329376856472,"37372044"
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",53.72889,1,1828.00759,0.00282289674750072,"37372044"
"2020-06_south-west_stereo-BRUVs","01","Scorpididae","Tilodon","sexfasciatus",326.08301,1,3443.46723,0.914871608760491,"37361003"
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","sp1",148.2794,1,2006.93166,0.0478142165428153,NA
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","sp1",126.92704,1,2044.65261,0.0295990809737712,NA
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","sp1",170.07629,1,1989.82356,0.0729915578687386,NA
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","sp1",166.58498,1,1582.90659,0.0684681547714206,NA
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","sp1",132.54113,1,1793.68479,0.0338262676809008,NA
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","sp1",134.20839,1,2186.99994,0.0351559830370334,NA
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","sp1",153.6918,1,1927.16031,0.0534048465803902,NA
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","sp1",181.08339,1,1903.05278,0.088567748572816,NA
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","sp1",186.08155,1,1650.85178,0.0963269100258491,NA
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","sp1",195.43343,1,1420.98125,0.112055054967926,NA
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","sp1",140.52817,1,2011.03842,0.0405169659265703,NA
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","sp1",138.70284,1,1957.54611,0.0389155896092586,NA
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","sp1",146.59042,1,2067.34447,0.0461542261958547,NA
