campaignid,sample,family,genus,species,caab,count
2021-05_Abrolhos_stereo-BRUVs,npz6.10,Carangidae,Seriola,dumerili,37337025,5
2021-05_Abrolhos_stereo-BRUVs,npz6.10,Monacanthidae,Nelusetta,ayraud,37465006,1
2021-05_Abrolhos_stereo-BRUVs,npz6.10,Pinguipedidae,Parapercis,nebulosa,37390005,1
2021-05_Abrolhos_stereo-BRUVs,npz6.10,Sparidae,Chrysophrys,auratus,37353001,4
2021-05_Abrolhos_stereo-BRUVs,npz6.10,Tetraodontidae,Lagocephalus,sceleratus,37467007,2
2021-05_Abrolhos_stereo-BRUVs,npz6.13,Apogonidae,Ostorhinchus,spp,,2
2021-05_Abrolhos_stereo-BRUVs,npz6.13,Chaetodontidae,Chaetodon,assarius,37365012,1
2021-05_Abrolhos_stereo-BRUVs,npz6.13,Cirrhitidae,Paracirrhites,forsteri,37374010,1
2021-05_Abrolhos_stereo-BRUVs,npz6.13,Sparidae,Chrysophrys,auratus,37353001,4
2021-05_Abrolhos_stereo-BRUVs,npz6.13,Tetraodontidae,Lagocephalus,sceleratus,37467007,1
2021-05_Abrolhos_stereo-BRUVs,npz6.14,Carangidae,Seriola,hippos,37337007,1
2021-05_Abrolhos_stereo-BRUVs,npz6.14,Labridae,Anampses,geographicus,37384048,1
2021-05_Abrolhos_stereo-BRUVs,npz6.14,Labridae,Austrolabrus,maculatus,37384025,1
2021-05_Abrolhos_stereo-BRUVs,npz6.14,Labridae,Bodianus,bilunulatus,37384054,1
2021-05_Abrolhos_stereo-BRUVs,npz6.14,Labridae,Choerodon,rubescens,37384039,2
2021-05_Abrolhos_stereo-BRUVs,npz6.14,Labridae,Coris,auricularis,37384088,41
2021-05_Abrolhos_stereo-BRUVs,npz6.14,Labridae,Labroides,dimidiatus,37384028,3
2021-05_Abrolhos_stereo-BRUVs,npz6.14,Labridae,Unknown,sp1,,1
2021-05_Abrolhos_stereo-BRUVs,npz6.14,Lethrinidae,Lethrinus,miniatus,37351009,5
2021-05_Abrolhos_stereo-BRUVs,npz6.14,Lethrinidae,Lethrinus,nebulosus,37351008,1
2021-05_Abrolhos_stereo-BRUVs,npz6.14,Mullidae,Parupeneus,spilurus,37355015,6
2021-05_Abrolhos_stereo-BRUVs,npz6.14,Pomacentridae,Chromis,spp,,44
2021-05_Abrolhos_stereo-BRUVs,npz6.14,Pomacentridae,Parma,occidentalis,37372094,1
2021-05_Abrolhos_stereo-BRUVs,npz6.14,Scaridae,Scarus,sp3,,3
2021-05_Abrolhos_stereo-BRUVs,npz6.14,Scaridae,Scarus,spp,,1
2021-05_Abrolhos_stereo-BRUVs,npz6.14,Serranidae,Epinephelus,rivulatus,37311022,1
2021-05_Abrolhos_stereo-BRUVs,npz6.15,Triakidae,Mustelus,spp,,1
2021-05_Abrolhos_stereo-BRUVs,npz6.17,Apogonidae,Ostorhinchus,spp,,3
2021-05_Abrolhos_stereo-BRUVs,npz6.17,Carangidae,Seriola,hippos,37337007,1
2021-05_Abrolhos_stereo-BRUVs,npz6.17,Chaetodontidae,Chaetodon,assarius,37365012,3
2021-05_Abrolhos_stereo-BRUVs,npz6.17,Cirrhitidae,Paracirrhites,forsteri,37374010,1
2021-05_Abrolhos_stereo-BRUVs,npz6.17,Dasyatidae,Taeniurops,meyeni,37035017,1
2021-05_Abrolhos_stereo-BRUVs,npz6.17,Labridae,Bodianus,solatus,37384201,2
2021-05_Abrolhos_stereo-BRUVs,npz6.17,Labridae,Bodianus,vulpinus,37384001,1
2021-05_Abrolhos_stereo-BRUVs,npz6.17,Labridae,Coris,auricularis,37384088,2
2021-05_Abrolhos_stereo-BRUVs,npz6.17,Monacanthidae,Nelusetta,ayraud,37465006,1
2021-05_Abrolhos_stereo-BRUVs,npz6.17,Sparidae,Chrysophrys,auratus,37353001,3
2021-05_Abrolhos_stereo-BRUVs,npz6.18,Haemulidae,Diagramma,pictum labiosum,37350003,9
2021-05_Abrolhos_stereo-BRUVs,npz6.18,Tetraodontidae,Unknown,spp,,1
2021-05_Abrolhos_stereo-BRUVs,npz6.2,Labridae,Choerodon,rubescens,37384039,1
2021-05_Abrolhos_stereo-BRUVs,npz6.2,Labridae,Coris,auricularis,37384088,164
2021-05_Abrolhos_stereo-BRUVs,npz6.2,Labridae,Labroides,dimidiatus,37384028,1
2021-05_Abrolhos_stereo-BRUVs,npz6.2,Lethrinidae,Lethrinus,miniatus,37351009,2
2021-05_Abrolhos_stereo-BRUVs,npz6.2,Mullidae,Parupeneus,spilurus,37355015,1
2021-05_Abrolhos_stereo-BRUVs,npz6.2,Muraenidae,Gymnothorax,woodwardi,37060054,1
2021-05_Abrolhos_stereo-BRUVs,npz6.2,Nemipteridae,Pentapodus,nagasakiensis,37347012,1
2021-05_Abrolhos_stereo-BRUVs,npz6.2,Pinguipedidae,Parapercis,haackei,37390004,1
2021-05_Abrolhos_stereo-BRUVs,npz6.2,Scombridae,Scomberomorus,spp,,1
2021-05_Abrolhos_stereo-BRUVs,npz6.2,Tetraodontidae,Torquigener,sp10,,2
2021-05_Abrolhos_stereo-BRUVs,npz6.2,Unknown,Unknown,sp1,,1
2021-05_Abrolhos_stereo-BRUVs,npz6.20,Haemulidae,Diagramma,pictum labiosum,37350003,3
2021-05_Abrolhos_stereo-BRUVs,npz6.20,Labridae,Choerodon,rubescens,37384039,4
2021-05_Abrolhos_stereo-BRUVs,npz6.20,Labridae,Coris,auricularis,37384088,3
2021-05_Abrolhos_stereo-BRUVs,npz6.20,Labridae,Suezichthys,cyanolaemus,37384161,2
2021-05_Abrolhos_stereo-BRUVs,npz6.20,Lethrinidae,Lethrinus,miniatus,37351009,4
2021-05_Abrolhos_stereo-BRUVs,npz6.20,Lethrinidae,Lethrinus,nebulosus,37351008,3
2021-05_Abrolhos_stereo-BRUVs,npz6.20,Nemipteridae,Pentapodus,nagasakiensis,37347012,7
2021-05_Abrolhos_stereo-BRUVs,npz6.21,Carcharhinidae,Carcharhinus,plumbeus,37018007,1
2021-05_Abrolhos_stereo-BRUVs,npz6.21,Labridae,Bodianus,solatus,37384201,1
2021-05_Abrolhos_stereo-BRUVs,npz6.21,Labridae,Choerodon,rubescens,37384039,3
2021-05_Abrolhos_stereo-BRUVs,npz6.21,Labridae,Coris,auricularis,37384088,6
2021-05_Abrolhos_stereo-BRUVs,npz6.21,Labridae,Suezichthys,cyanolaemus,37384161,5
2021-05_Abrolhos_stereo-BRUVs,npz6.21,Lethrinidae,Lethrinus,nebulosus,37351008,5
