"campaignid","sample","latitude","longitude","date.time","site","location","status","depth","successful.count","successful.length","observer.count","observer.length"
"2014-12_Geographe.Bay_stereoBRUVs","1",-33.3635,115.2142,2014-12-10 05:20:00,"Geographe Bay","Geographe Bay","Fished",40,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","2",-33.4405,115.101,2014-12-09 22:29:00,"Geographe Bay","Geographe Bay","Fished",40.5,"Yes","Yes","Test video","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","3",-33.4921,115.3549,2014-12-13 00:41:00,"Geographe Bay","Geographe Bay","Fished",24.8,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","4",-33.3921,115.2281,2014-12-10 06:13:00,"Geographe Bay","Geographe Bay","Fished",38.4,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","5",-33.3628,115.455,2014-12-11 01:43:00,"Geographe Bay","Geographe Bay","Fished",25.7,"Yes","Yes","test video","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","6",-33.4071,115.1204,2014-12-09 23:55:00,"Geographe Bay","Geographe Bay","Fished",41.8,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","7",-33.4205,115.4457,2014-12-13 03:04:00,"Geographe Bay","Geographe Bay","Fished",23.2,"Yes","Yes","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","9",-33.3643,115.1361,2014-12-10 02:04:00,"Geographe Bay","Geographe Bay","Fished",41.8,"Yes","No","Molly",NA
"2014-12_Geographe.Bay_stereoBRUVs","10",-33.5282,115.3313,2014-12-12 02:48:00,"Geographe Bay","Geographe Bay","Fished",22.7,"Yes","No","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","11",-33.5712,115.2958,2014-12-12 00:59:00,"Geographe Bay","Geographe Bay","Fished",21.7,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","12",-33.404,115.2616,2014-12-10 06:00:00,"Geographe Bay","Geographe Bay","Fished",38.7,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","13",-33.4502,115.0925,2014-12-09 05:41:00,"Geographe Bay","Geographe Bay","Fished",42.4,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","14",-33.5297,115.413,2014-12-12 21:56:00,"Geographe Bay","Geographe Bay","Fished",13.2,"Yes","Yes","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","15",-33.5782,115.2148,2014-12-11 22:27:00,"Geographe Bay","Geographe Bay","Fished",26.2,"Yes","Yes","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","16",-33.3889,115.4986,2014-12-11 04:21:00,"Geographe Bay","Geographe Bay","Fished",20,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","17",-33.3636,115.2327,2014-12-10 05:27:00,"Geographe Bay","Geographe Bay","Fished",38.8,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","18",-33.3926,115.0981,2014-12-09 23:44:00,"Geographe Bay","Geographe Bay","Fished",42.4,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","19",-33.4605,115.3618,2014-12-13 02:33:00,"Geographe Bay","Geographe Bay","Fished",26,"Yes","Yes","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","20",-33.4339,115.2221,2014-12-10 03:09:00,"Geographe Bay","Geographe Bay","Fished",36,"Yes","Yes","Hayley","Molly"
